Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000001079,1/5/2017  8:41:09 PM,Accident - Hit and Run,Blue Form Issue,"Wooten, Christopher",2661 N Ih 35
170000001088,1/5/2017  9:23:33 PM,Investigation,Citation Issued,"Roberts, Nelson",2661 N IH 35
170000001089,1/5/2017  9:29:21 PM,Attempt to Locate,Ref oth Agncy,,205 Nb35 IH
170000001094,1/5/2017  10:13:18 PM,Mental Health Invest,Report,"Wooten, Christopher",930 N IH 35
170000001097,1/5/2017  10:24:07 PM,Mental Health Invest,Report,"Myers, Sam",1301 Wonder World Dr
170000001107,1/5/2017  11:45:58 PM,Assault,Report,"Putnam, Justin",1701 N IH 35
170000001112,1/6/2017  12:15:06 AM,Disturbance - Noise,Verbal Warning,"Sarver, Stephen",900 Peques St
170000001114,1/6/2017  12:25:50 AM,Pedestrian Stop,Citation Issued,"Hartman, Ryan",100 N Guadalupe St
170000001115,1/6/2017  12:27:22 AM,Pedestrian Stop,Citation Issued,"Prado, Richard",100 N Guadalupe St
170000001116,1/6/2017  12:28:20 AM,Robbery - Agg,Arrest,"Wooten, Christopher",1629 Post Rd
170000001118,1/6/2017  12:41:26 AM,Pedestrian Stop,Verbal Warning,"Hartman, Ryan",100 N Guadalupe St
170000001125,1/6/2017  1:29:17 AM,Disturbance - Noise,Verbal Warning,"Aubry, Patrick",1250 Sadler Dr
170000001128,1/6/2017  1:56:02 AM,Controlled Substance,Arrest,"Smith, Austin",1113 N IH 35
170000001133,1/6/2017  2:41:12 AM,Unauth Use Vehicle,Refer To COPR,"Hartman, Ryan",100 N Guadalupe St
170000001134,1/6/2017  3:07:19 AM,Suspicious Vehicle,Multiple Arrest,"Putnam, Justin",930 N IH 35
170000001194,1/6/2017  1:19:15 PM,Accident - Major/Injury,Blue Form Issue,"Saavedra, Jesse",199 Nb35 IH
170000001209,1/6/2017  2:19:27 PM,Assault,Report,"Gibson, Kathryn",2300 S Ih 35
170000001210,1/6/2017  2:26:41 PM,Gas Leak/Gas Odor,Fire Call,"Jordan, Garrett",206 Tampico St
170000001211,1/6/2017  2:29:20 PM,Fraud,Refer To COPR,"Cope, John",549 W Hutchison St
170000001228,1/6/2017  3:36:08 PM,Property - Lost/Found/Imp,Report,,2300 S Ih 35
170000001232,1/6/2017  3:46:18 PM,Vehicle Theft,Report,"Cope, John",100 N Guadalupe St
170000001233,1/6/2017  3:47:16 PM,Information,Report,"Elrod, Robert",2300 S I H 35
170000001239,1/6/2017  4:08:11 PM,Attempt to Locate,Ref oth Agncy,,204 Nb35 IH
170000001243,1/6/2017  4:23:36 PM,Accident - Minor,Report,"Sembera, Jeremy",Hunter Rd/W Wonder World Dr
170000001247,1/6/2017  4:44:43 PM,Mental Health Invest,Ref oth Agncy,"Bender, Joyce",1301 Wonder World Dr
170000001249,1/6/2017  4:53:38 PM,Suicidal Person,Report,"Seals, Bradley",1101 Leah Ave
170000001255,1/6/2017  5:15:00 PM,Suspicious Person,Arrest,"Tennant, Casey",1250 Wonder World Dr
170000001256,1/6/2017  5:15:38 PM,Theft,Report,"Tureaud, Benjamin",1250 Sadler Dr
170000001260,1/6/2017  5:30:15 PM,Accident - Minor,Report,"Fischer, Vincent",102 N IH 35
170000001264,1/6/2017  5:57:47 PM,Wanted Person,Arrest,"Tureaud, Benjamin",1011 Wonder World Dr
170000001296,1/6/2017  8:30:07 PM,Disturbance - Verbal,Verbal Warning,"Cyrus, Lance",1800 Post Rd
170000001326,1/6/2017  10:53:50 PM,Attempt to Locate,Verbal Warning,"Tureaud, Benjamin",210 Sb35 IH
170000001336,1/6/2017  11:35:28 PM,Public Assist,Verbal Warning,"Tureaud, Benjamin",250 S Stagecoach Trl
170000001338,1/6/2017  11:42:02 PM,Disturbance - Phys/Fight,Arrest,"Contreras, Ysidro",1702 S IH 35
170000001345,1/7/2017  12:11:56 AM,Disturbance - Noise,Verbal Warning,"Contreras, Ysidro",1850 Aquarena Springs Dr
170000001350,1/7/2017  12:36:56 AM,Disturbance - Noise,Verbal Warning,"Osborne, Joseph",95 Elm Hill Ct
170000001353,1/7/2017  12:41:57 AM,Pedestrian Stop,Citation Issued,"Hartman, Ryan",N LBJ Dr/E Hopkins St
170000001361,1/7/2017  1:17:15 AM,Accident - Hit and Run,Blue Form Issue,"Tureaud, Benjamin",209 N IH 35
170000001371,1/7/2017  2:19:17 AM,Disturbance - Noise,Verbal Warning,"Osborne, Joseph",1414 Andra Ln
170000001402,1/7/2017  8:26:10 AM,Accident - Hit and Run,Blue Form Issue,"Cope, John",1001 Field St
170000001404,1/7/2017  8:29:58 AM,Accident - Unknown,Blue Form Issue,"Slaughter, Dustin",204 Sb35 IH
170000001407,1/7/2017  9:05:01 AM,Accident - Minor,Blue Form Issue,"Slaughter, Dustin",209 N IH 35
170000001438,1/7/2017  1:39:49 PM,Fire- Mutual Aid,Fire Call,"Calhoun, Justin",2500 Francis Harris Ln
170000001443,1/7/2017  2:31:01 PM,Accident - Major/Injury,Report,"Sembera, Jeremy",201 Nb35 IH
170000001449,1/7/2017  3:29:31 PM,Accident - Minor,Report,"Saavedra, Jesse",200 Nb35 IH
170000001453,1/7/2017  3:45:08 PM,Accident - Minor,Report,"Sembera, Jeremy",W Hopkins St/Olive St
170000001457,1/7/2017  3:55:31 PM,Recovered Stolen Vehicle,Report,"Tennant, Casey",109 West Ave
170000001461,1/7/2017  4:00:18 PM,Accident - Major/Injury,Report,"Slaughter, Dustin",202 Nb35 IH
170000001467,1/7/2017  4:46:08 PM,Accident - Minor,Blue Form Issue,"Tureaud, Benjamin",201 Nb35 IH
170000001479,1/7/2017  6:26:06 PM,Credit/Debit Abuse,Report,"Stephens, Paul",3939 S Ih 35
170000001489,1/7/2017  7:29:38 PM,Accident - Hit and Run,Blue Form Issue,"Seals, Bradley",200BLK West Ave
170000001522,1/7/2017  10:00:28 PM,Disturbance - Noise,Verbal Warning,"Tennant, Casey",503 Springtown Way
170000001562,1/8/2017  1:40:02 AM,Accident - Unknown,Report,"Tureaud, Benjamin",202 Sb35 IH
170000001571,1/8/2017  2:17:34 AM,Viol County Ordinance,Arrest,"Tennant, Casey",100 N Guadalupe St
170000001572,1/8/2017  2:20:17 AM,Investigation,Citation Issued,"Cyrus, Lance",San Antonio St/Guadalupe St
170000001577,1/8/2017  2:31:29 AM,Suicidal Person,Ref oth Agncy,,2615 Rolling Oaks
170000001578,1/8/2017  2:34:51 AM,Viol City Ordinance,Verbal Warning,"Contreras, Ysidro",555 Cheatham St
170000001579,1/8/2017  2:37:37 AM,Disturbance - Noise,Verbal Warning,"Tureaud, Benjamin",1350 Sadler Dr
170000001580,1/8/2017  2:42:11 AM,Disturbance - Noise,Cond Citation,"Cyrus, Lance",527 W San Antonio St
170000001583,1/8/2017  2:52:52 AM,Disturbance - Phys/Fight,Arrest,"Cyrus, Lance",1017 Haynes St
170000001588,1/8/2017  3:30:23 AM,Assist EMS,Ref oth Agncy,"Royal, GeCorrie",San Antonio St/Guadalupe St
170000001604,1/8/2017  7:51:47 AM,Suspicious Person,Warning,"Cope, John",1321 N IH 35
170000001611,1/8/2017  9:34:59 AM,Accident - Minor,Report,"Sembera, Jeremy",E Access Rd/Yarrington Rd
170000001620,1/8/2017  11:48:14 AM,Accident - Minor,Blue Form Issue,"Harrison, Todd",100blk W Mccarty Ln
170000001627,1/8/2017  12:22:50 PM,Death Investigation,Report,"Cope, John",2600 Hunter Rd
170000001630,1/8/2017  1:06:36 PM,Accident - Hit and Run,Blue Form Issue,"Sembera, Jeremy",1015 Hwy 80
170000001642,1/8/2017  2:11:28 PM,Accident - Major/Injury,Report,"Copeland, Kenneth",205 Craddock Ave
170000001665,1/8/2017  5:41:10 PM,Disturbance - Phys/Fight,Report,"Tennant, Casey",525 Lockwood Dr
170000001667,1/8/2017  5:44:25 PM,Theft,Arrest,"Tennant, Casey",800 Barnes Dr
170000001668,1/8/2017  5:46:32 PM,Trespassing/Unwanted,Warning,"Fischer, Vincent",1439 N IH 35
170000001713,1/8/2017  11:01:45 PM,Robbery,Report,"Elrod, Candace",2300 S Ih 35
170000001716,1/8/2017  11:20:23 PM,Robbery,Arrest,"Tennant, Casey",1850 Aquarena Springs Dr
170000001730,1/9/2017  1:54:46 AM,Accident - Minor,Blue Form Issue,"Cyrus, Lance",1818 Old Ranch Road 12
170000001736,1/9/2017  2:42:02 AM,Burglary - Vehicle,Refer To COPR,,1401 E McCarty Ln
170000001747,1/9/2017  5:27:54 AM,Mental Health Invest,Verbal Warning,"McGee, Miranda",617 Clyde Ct
170000001748,1/9/2017  5:47:13 AM,Suspicious Vehicle,Arrest,"Wisener, Andrew",Alto St/Midway St
170000001750,1/9/2017  5:48:07 AM,Accident - Hit and Run,Report,"Cyrus, Lance",100 Carlson Cir
170000001758,1/9/2017  7:33:56 AM,Burglary - Building,Report,"Copeland, Kenneth",1818 Old Ranch Road 12
170000001760,1/9/2017  7:54:52 AM,Burglary - Building,Report,"Beach, Brian",1629 Post Rd
170000001772,1/9/2017  8:56:46 AM,Mental Health Invest,Report,"Fisher, Danny",2601 Rattler Rd
170000001774,1/9/2017  9:06:52 AM,Runaway,Detention Juv,"Copeland, Kenneth",614 N Bishop St
170000001778,1/9/2017  9:16:29 AM,Investigation,Arrest,"Campbell, David",2300 S Ih 35
170000001780,1/9/2017  9:32:19 AM,Mental Health Invest,Report,"Bulller, Zachery",1301 Wonder World Dr
170000001782,1/9/2017  9:38:30 AM,Burglary - Building,Report,"Easterly, Evan",1350 Sadler Dr
170000001786,1/9/2017  9:59:59 AM,Harassment,Refer To COPR,"Gibson, Kathryn",2300 S Ih 35
170000001801,1/9/2017  11:35:04 AM,Accident - Major/Injury,Report,"Pierce, Basil",1101 Hilltop Dr
170000001803,1/9/2017  11:38:38 AM,Disturbance - Phys/Fight,Report,"Beach, Brian",1000 N Lbj Dr
170000001811,1/9/2017  12:57:19 PM,Accident - Major/Injury,Report,"Bulller, Zachery",2211 S IH 35
170000001812,1/9/2017  12:58:12 PM,Accident - Major/Injury,Ref oth Agncy,"Bulller, Zachery",4060 Hwy 123
170000001839,1/9/2017  4:14:34 PM,Theft,Refer To COPR,"Sarver, Stephen",2300 S IH 35
170000001844,1/9/2017  4:31:44 PM,Accident - Minor,Blue Form Issue,"Gonzales, Gavin",1818 Old Ranch Road 12
170000001848,1/9/2017  5:11:11 PM,Accident - Minor,Report,"Sarver, Stephen",600 Wonder World Dr
170000001853,1/9/2017  5:35:22 PM,Theft,Citation Issued,"Sarver, Stephen",4331 S IH 35
170000001856,1/9/2017  5:38:17 PM,Assault,Report,"Wooten, Christopher",2103 River Rd
170000001862,1/9/2017  5:51:51 PM,Theft,Refer To COPR,"Wooten, Christopher",650 River Rd
170000001866,1/9/2017  6:11:42 PM,Disorderly Conduct,Multiple Arrest,"Gonzales, Gavin",218 Moore St
170000001871,1/9/2017  6:41:25 PM,Suspicious Circumstances,Report,"Sarver, Stephen",183 Cazador Dr
170000001880,1/9/2017  7:29:05 PM,Accident - Minor,Blue Form Issue,"Salinas, Hollie",509 Uhland Rd
170000001883,1/9/2017  8:17:57 PM,Burglary - Vehicle,Report,"Beller, Paul",1011 Wonder World Dr
170000001890,1/9/2017  8:42:31 PM,Drug Paraphernalia,Arrest,"Wooten, Christopher",900 Bugg Ln
170000001893,1/9/2017  8:57:13 PM,Suicidal Person,Report,"Smith, Austin",2913 Hunter Rd
170000001927,1/10/2017  12:41:49 AM,Disturbance - Noise,Verbal Warning,"Wooten, Christopher",1400 Clarewood Dr
170000001929,1/10/2017  1:04:25 AM,Disturbance - Phys/Fight,Arrest,"Gonzales, Gavin",436 W Holland St
170000001932,1/10/2017  2:01:30 AM,Discharged Firearm,Multiple Arrest,"Smith, Austin",1415 Craddock Ave
170000001938,1/10/2017  2:30:18 AM,Accident - Minor,Blue Form Issue,"Davidson, Travis",Warden Ln/Thorpe Ln
170000001947,1/10/2017  6:15:31 AM,Burglary - Vehicle,Report,"Pierce, Basil",520 Linda Dr
170000001969,1/10/2017  8:18:24 AM,Accident - Minor,Blue Form Issue,"Easterly, Evan",2201 S IH 35
170000001972,1/10/2017  8:39:36 AM,Criminal Mischief,Multiple Arrest,"Pierce, Basil",1111 Avalon Ave
170000002025,1/10/2017  1:31:07 PM,Attempt to Locate,Ref oth Agncy,,Aquarena Springs Dr/W Access Rd
170000002040,1/10/2017  2:12:43 PM,Mental Health Invest,Report,"Pierce, Basil",122 Old Settlers Dr
170000002070,1/10/2017  4:34:16 PM,Missing Person,Ref oth Agncy,,22 Willis Way
170000002075,1/10/2017  4:41:27 PM,Accident - Minor,Report,"Tureaud, Benjamin",809 Perkins St
170000002083,1/10/2017  5:26:25 PM,Accident - Major/Injury,Report,"Tureaud, Benjamin",1642 Aquarena Springs Dr
170000002102,1/10/2017  7:22:23 PM,Theft,Arrest,"Tureaud, Benjamin",4015 S IH 35
170000002109,1/10/2017  7:45:19 PM,Welfare Concern,Arrest,"Gonzales, Gavin",641 E Hopkins St
170000002121,1/10/2017  9:03:30 PM,Disturbance - Verbal,Arrest,"Tureaud, Benjamin",1001 E McCarty Ln
170000002129,1/10/2017  9:57:38 PM,Mental Health Invest,Report,"Smith, Austin",1101 Leah Ave
170000002150,1/11/2017  12:18:30 AM,Public Intoxication,Verbal Warning,"Hartman, Ryan",123 N Edward Gary St
170000002152,1/11/2017  12:25:57 AM,Suspicious Person,Arrest,"Putnam, Justin",209 N Edward Gary St
170000002155,1/11/2017  12:49:03 AM,Disturbance - Noise,Verbal Warning,"Tureaud, Benjamin",1410 N Lbj Dr
170000002156,1/11/2017  12:58:49 AM,Public Intoxication,Verbal Warning,"Prado, Richard",120 E San Antonio St
170000002161,1/11/2017  1:32:32 AM,Pedestrian Stop,Citation Issued,"Hartman, Ryan",100blk E San Antonio St
