Incident_Nr,TimeReported,Activity,Disposition,Location
1.9E+11,10/24/19 15:15,Accident - Minor,Blue Form Issue,Bert Brown Rd/Post Rd
1.9E+11,10/24/19 15:26,Accident - Minor,Blue Form Issue,1655 Mill St
1.9E+11,10/24/19 16:05,Traffic Incident General,Blue Form Issue,1350 N LBJ Dr
1.9E+11,10/24/19 16:18,Accident - Minor,Blue Form Issue,104 N IH 35
1.9E+11,10/24/19 17:42,Domestic Dist General,Report,1250 Sadler Dr
1.9E+11,10/24/19 18:10,Accident - Minor,Blue Form Issue,AXL04023 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/24/19 18:49,Accident - Minor,Citation Issued,200blk Charles Austin Dr
1.9E+11,10/24/19 20:05,Accident - Hit and Run,Blue Form Issue,Patton St/Hines St
1.9E+11,10/24/19 20:15,Accident - Major/Injury,Report,E De Zavala Dr/Hwy 123
1.9E+11,10/24/19 20:27,Fraud,Report,2300 S IH 35
1.9E+11,10/24/19 20:32,Assault - Aggravated,Report,1502 S IH 35
1.9E+11,10/24/19 20:41,Accident - Unknown,Report,204 SB
1.9E+11,10/24/19 21:26,Accident - Minor,Report,202 SB
1.9E+11,10/24/19 21:42,Accident - Unknown,Report,EXIT 201 NB
1.9E+11,10/25/19 1:22,Investigation,Arrest,116 S Edward Gary St
1.9E+11,10/25/19 1:57,Pedestrian Stop,Arrest,E Hopkins St/N Guadalupe St
1.9E+11,10/25/19 2:12,Sexual Assault,Ref oth Agncy,
1.9E+11,10/25/19 3:39,Information,Report,Hwy 123/Cape Rd
1.9E+11,10/25/19 4:53,Assist EMS,Report,417 N Comanche St
1.9E+11,10/25/19 7:02,Mental Health Invest,Report,503 Springtown Way
1.9E+11,10/25/19 7:20,Accident - Unknown,Report,204 SB
1.9E+11,10/25/19 8:33,Assist Outside Agency,Report,2300 S IH 35
1.9E+11,10/25/19 8:42,Criminal Mischief,Report,226 N LBJ Dr
1.9E+11,10/25/19 8:49,Assist Outside Agency,Report,750 River Rd
1.9E+11,10/25/19 9:30,Public Assist,Ref oth Agncy,AXL00023 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/25/19 10:32,Property - Lost/Found/Imp,Refer To COPR,2300 S IH 35
1.9E+11,10/25/19 10:37,Fraud,Refer To COPR,2300 S IH 35
1.9E+11,10/25/19 11:07,Attempt to Locate,Ref oth Agncy,208 NB
1.9E+11,10/25/19 11:38,911 Abon/Misdial/Open,TDD Challenged,AXL02167 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,10/25/19 11:38,Theft,Refer To COPR,1350 Leah Ave
1.9E+11,10/25/19 13:38,Traffic Incident General,Blue Form Issue,1303 S IH 35
1.9E+11,10/25/19 13:53,Solicitors,Warning,Hwy 123/E Access Rd
1.9E+11,10/25/19 13:56,911 Abon/Misdial/Open,TDD Challenged,1300 RIVER RD - SECTOR SWSW
1.9E+11,10/25/19 14:12,Accident - Hit and Run,Blue Form Issue,1303 S IH 35
1.9E+11,10/25/19 14:33,Accident - Hit and Run,Blue Form Issue,University Dr/N LBJ Dr
1.9E+11,10/25/19 14:41,911 Abon/Misdial/Open,TDD Challenged,137631 NE SECTOR - VERIZON WIRELESSON WI
1.9E+11,10/25/19 15:02,911 Abon/Misdial/Open,TDD Challenged,AXL00752 N SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/25/19 15:48,Accident - Minor,Blue Form Issue,103 University Dr
1.9E+11,10/25/19 15:57,Accident - Minor,Blue Form Issue,S Guadalupe St/Knox St
1.9E+11,10/25/19 16:36,911 Abon/Misdial/Open,TDD Challenged,AXL00023 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,10/25/19 16:37,Theft,Report,2990 S IH 35
1.9E+11,10/25/19 16:58,Police Incoming Call,Ref oth Agncy,210 SB
1.9E+11,10/25/19 16:59,Accident - Major/Injury,Report,204 NB
1.9E+11,10/25/19 17:09,Traffic Incident General,Blue Form Issue,927 Hwy 80
1.9E+11,10/25/19 17:25,Accident - Minor,Blue Form Issue,3939 S IH 35
1.9E+11,10/25/19 17:58,Harass/Stalk/Thrt General,Refer To COPR,2300 S IH 35
1.9E+11,10/25/19 18:13,Accident - Unknown,Citation Issued,N Bishop St/Craddock Ave
1.9E+11,10/25/19 18:33,Attempt to Locate,Ref oth Agncy,208 NB
1.9E+11,10/25/19 18:38,Theft,Report,1301 Wonder World Dr
1.9E+11,10/25/19 19:20,Accident - Hit and Run,Blue Form Issue,Wonder World Dr/Sadler Dr
1.9E+11,10/25/19 19:32,Solicitors,Verbal Warning,E Hopkins St/W Access Rd
1.9E+11,10/25/19 21:37,Suicidal Person,Arrest,122 N Bishop St
1.9E+11,10/25/19 23:44,Disturbance - Noise,Cond Citation,1111 Avalon Ave
1.9E+11,10/26/19 0:54,Disturbance - Noise,Citation Issued,1511 Old Ranch Road 12
1.9E+11,10/26/19 0:55,Criminal Mischief,Report,116 S LBJ Dr
1.9E+11,10/26/19 1:39,Disturbance - Noise,Citation Issued,1701 Mill St
1.9E+11,10/26/19 2:00,Disturbance - Phys/Fight,Arrest,650 River Rd
1.9E+11,10/26/19 2:11,911 Abon/Misdial/Open,TDD Challenged,211 W GROVE ST - SECTOR NN
1.9E+11,10/26/19 2:18,Vehicle Theft,Report,104 Mosscliff Cir
1.9E+11,10/26/19 2:50,Disturbance - Noise,Citation Issued,414 W San Antonio St
1.9E+11,10/26/19 4:38,Suspicious Person,Arrest,1006 Hwy 80
1.9E+11,10/26/19 7:56,Criminal Mischief,Report,228 S Guadalupe St
1.9E+11,10/26/19 8:35,911 Abon/Misdial/Open,TDD Challenged,AXL00686 SE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,10/26/19 10:40,Police Incoming Call,Refer To COPR,417 N Comanche St
1.9E+11,10/26/19 10:47,Accident - Minor,Blue Form Issue,917 Hwy 80
1.9E+11,10/26/19 10:52,Criminal Mischief,Refer To COPR,417 N Comanche St
1.9E+11,10/26/19 11:39,Harassment,Refer To COPR,2300 S IH 35
1.9E+11,10/26/19 12:37,Vehicle Theft,Report,1360 Thorpe Ln
1.9E+11,10/26/19 12:39,Police Incoming Call,Blue Form Issue,1650 River Rd
1.9E+11,10/26/19 12:41,Assault,Report,2300 S IH 35
1.9E+11,10/26/19 12:46,911 Abon/Misdial/Open,TDD Challenged,1305 RIVER - NW
1.9E+11,10/26/19 12:53,Police Incoming Call,Ref oth Agncy,412 BIRCH
1.9E+11,10/26/19 13:13,Accident - Major/Injury,Report,Wonder World Dr/Leah Ave
1.9E+11,10/26/19 14:54,Theft,Warning,920 Hwy 80
1.9E+11,10/26/19 18:27,Theft,Report,3939 S IH 35
1.9E+11,10/26/19 19:27,Accident - Hit and Run,Report,202 NB
1.9E+11,10/26/19 19:50,Assault,Report,118 S LBJ Dr
1.9E+11,10/26/19 19:55,Missing Person,Report,2300 S IH 35
1.9E+11,10/26/19 19:59,Theft,Multiple Arrest,1015 Hwy 80
1.9E+11,10/26/19 21:00,Wanted Person,Arrest,1103 Haynes St
1.9E+11,10/26/19 22:41,Accident - Hit and Run,Blue Form Issue,1642 Aquarena Springs Dr
1.9E+11,10/26/19 23:39,Suicidal Person,Arrest,1811 Medical Pkwy
1.9E+11,10/27/19 0:28,Disturbance - Noise,Verbal Warning,1701 Mill St
1.9E+11,10/27/19 0:39,Disturbance - Noise,Citation Issued,1350 N LBJ Dr
1.9E+11,10/27/19 0:53,Disturbance - Noise,Citation Issued,1350 N LBJ Dr
1.9E+11,10/27/19 1:06,Attempt to Locate,Arrest,204 NB
1.9E+11,10/27/19 1:31,Disturbance - Noise,Verbal Warning,1610 N IH 35
1.9E+11,10/27/19 2:32,Disturbance - Phys/Fight,Report,409 N Comanche St
1.9E+11,10/27/19 2:57,Disturbance - Noise,Verbal Warning,503 Uhland Rd
1.9E+11,10/27/19 3:28,Accident - Hit and Run,Blue Form Issue,1415 Craddock Ave
1.9E+11,10/27/19 7:16,911 Abon/Misdial/Open,TDD Challenged,228 W SESSOM DR - SE
1.9E+11,10/27/19 10:02,Suicide,Report,1224 N LBJ Dr
1.9E+11,10/27/19 11:13,Assault,Report,1250 Sadler Dr
1.9E+11,10/27/19 12:04,Disturbance - Verbal,Report,1301 Wonder World Dr
1.9E+11,10/27/19 12:12,Accident - Minor,Blue Form Issue,701 E Hopkins St
1.9E+11,10/27/19 13:25,Police Incoming Call,Ref oth Agncy,2300 S IH 35
1.9E+11,10/27/19 13:55,Theft,Multiple Arrest,1015 Hwy 80
1.9E+11,10/27/19 14:14,911 Abon/Misdial/Open,TDD Challenged,1300 RIVER RD - SECTOR NN
1.9E+11,10/27/19 17:02,Police Incoming Call,Refer To COPR,2300 S IH 35
1.9E+11,10/27/19 17:13,Vehicle Theft,Arrest,1019 W MLK Dr
1.9E+11,10/27/19 17:44,Viol City Ordinance,Citation Issued,205 S C M Allen Pkwy
1.9E+11,10/27/19 18:28,Child Custody,Ref oth Agncy,2195 S Old Bastrop Hwy
1.9E+11,10/27/19 18:43,Burglary - Habitation,Report,503 Uhland Rd
1.9E+11,10/27/19 19:04,Public Assist,Citation Issued,1001 Old Ranch Road 12
1.9E+11,10/27/19 19:43,911 Abon/Misdial/Open,TDD Challenged,226 Wonder World Dr
1.9E+11,10/27/19 19:52,911 Abon/Misdial/Open,TDD Challenged,AXL04114 SW SECTOR - AT&T MOBILITYMOBILI
1.9E+11,10/27/19 20:38,Animal Call,Verbal Warning,1015 Conway Dr
1.9E+11,10/27/19 21:58,Trespassing/Unwanted,Warning,2005 Technology Way
1.9E+11,10/27/19 23:13,Missing Person,Detention Juv,426 Linda Dr
1.9E+11,10/27/19 23:31,Flagged Down,Citation Issued,915 Sagewood Trl
1.9E+11,10/28/19 1:44,Animal Call,Ref oth Agncy,1230 N LBJ Dr
1.9E+11,10/28/19 7:46,Burglary - Building,Report,105 Tampico St
1.9E+11,10/28/19 8:43,Death Investigation,Report,401 Capistrano Dr
1.9E+11,10/28/19 8:45,911 Abon/Misdial/Open,TDD Challenged,
1.9E+11,10/28/19 8:47,911 Abon/Misdial/Open,TDD Challenged,
1.9E+11,10/28/19 8:53,911 Abon/Misdial/Open,TDD Challenged,
1.9E+11,10/28/19 10:14,Trespassing/Unwanted,Ref oth Agncy,3107 Hwy 21
1.9E+11,10/28/19 10:26,Accident - Minor,Blue Form Issue,1115 Hwy 80
1.9E+11,10/28/19 11:13,Accident - Unknown,Report,5600blk S Ih 35
1.9E+11,10/28/19 12:04,911 Abon/Misdial/Open,TDD Challenged,1300 RIVER RD - SECTOR SWSW
1.9E+11,10/28/19 12:40,911 Abon/Misdial/Open,TDD Challenged,2911 HUNTER RD - SECTOR SWR SW
1.9E+11,10/28/19 13:03,Fraud,Ref oth Agncy,1350 Sadler Dr
1.9E+11,10/28/19 13:21,Wanted Person,Arrest,1610 N IH 35
1.9E+11,10/28/19 13:49,Suicidal Person,Report,646 Foxtail Run
1.9E+11,10/28/19 14:07,Narcotics/Information,Citation Issued,2601 Rattler Rd
1.9E+11,10/28/19 14:19,Accident - Minor,Blue Form Issue,2041 S IH 35
1.9E+11,10/28/19 14:22,Police Incoming Call,Ref oth Agncy,245 W Sessom Dr
1.9E+11,10/28/19 14:47,Theft,Report,4321 S IH 35
1.9E+11,10/28/19 14:59,Sexual Assault,Report,2300 S IH 35
1.9E+11,10/28/19 16:01,Police Incoming Call,Blue Form Issue,2041 S IH 35
1.9E+11,10/28/19 16:14,Burglary - Vehicle,Report,2300 S IH 35
1.9E+11,10/28/19 16:48,Mental Health Invest,Report,1805 Peter Garza St
1.9E+11,10/28/19 16:56,Accident - Minor,Report,1600   Mill St
1.9E+11,10/28/19 18:07,Theft,Report,641 E Hopkins St
1.9E+11,10/28/19 18:46,Accident - Minor,Report,1300   Aquarena Springs Dr
1.9E+11,10/28/19 18:53,Fraud,Multiple Arrest,1050 McKinley Place Dr
1.9E+11,10/28/19 19:26,Vehicle Theft,Report,1015 Hwy 80
1.9E+11,10/28/19 19:57,Accident - Major/Injury,Report,1400blk Aquarena Springs Dr
1.9E+11,10/28/19 20:38,Accident - Unknown,Report,700blk Aquarena Springs Dr
1.9E+11,10/28/19 21:47,Attempt to Locate,Verbal Warning,198 NB
1.9E+11,10/28/19 21:53,911 Abon/Misdial/Open,TDD Challenged,137253 W SECTOR - VERIZON WIRELESSN WIRE
1.9E+11,10/29/19 0:50,Disturbance - Phys/Fight,Report,1007 Barbara Dr
1.9E+11,10/29/19 0:58,Suspicious Person,Arrest,138 N LBJ Dr
1.9E+11,10/29/19 0:59,Welfare Concern,Arrest,4040 S IH 35
1.9E+11,10/29/19 1:19,Suspicious Vehicle,Citation Issued,1701 Mill St
1.9E+11,10/29/19 2:10,911 Abon/Misdial/Open,TDD Challenged,228 W SESSOM DR - NE
1.9E+11,10/29/19 2:45,Assault,Arrest,1900 Aquarena Springs Dr
1.9E+11,10/29/19 5:57,911 Abon/Misdial/Open,TDD Challenged,5065 SE SECTOR - AT&T MOBILITYMOBILITY
1.9E+11,10/29/19 8:45,911 Abon/Misdial/Open,TDD Challenged,132 W SECTOR - VERIZONN
1.9E+11,10/29/19 9:53,Accident - Unknown,Report,Hwy 21/Hwy 80
1.9E+11,10/29/19 10:55,911 Abon/Misdial/Open,TDD Challenged,5198 SE SECTOR - AT&T MOBILITYMOBILITY
1.9E+11,10/29/19 11:44,Accident - Unknown,Report,Clarewood Dr/Hwy 80
1.9E+11,10/29/19 12:39,Traffic Incident General,Blue Form Issue,1975 Aquarena Springs Dr
1.9E+11,10/29/19 12:47,Accident - Minor,Blue Form Issue,913 Hwy 80
1.9E+11,10/29/19 13:03,Accident - Unknown,Ref oth Agncy,Academy St/W Sessom Dr
1.9E+11,10/29/19 13:44,Accident - Unknown,Report,202 NB
1.9E+11,10/29/19 14:06,Accident - Minor,Blue Form Issue,188 Bandera St
1.9E+11,10/29/19 14:13,Harassment,Refer To COPR,1106 N IH 35
1.9E+11,10/29/19 14:18,Traffic Incident General,Blue Form Issue,700 N LBJ Dr
1.9E+11,10/29/19 15:03,Accident - Minor,Blue Form Issue,Davis Ln/E Access Rd
1.9E+11,10/29/19 16:10,Police Incoming Call,Ref oth Agncy,650 River Rd
1.9E+11,10/29/19 16:40,Disturbance - Verbal,Warning,1180 Thorpe Ln
1.9E+11,10/29/19 17:37,Vehicle Theft,Report,821 Bracewood Cir
1.9E+11,10/29/19 19:28,Accident - Unknown,Report,209 SB
1.9E+11,10/29/19 19:38,Accident - Minor,Arrest,407 S Stagecoach Trl
1.9E+11,10/29/19 19:51,Accident - Major/Injury,Report,Monterrey Oak/Hwy 123
1.9E+11,10/29/19 21:54,Criminal Mischief,Arrest,1506 S IH 35
1.9E+11,10/29/19 22:47,Suspicious Person,Report,1011 N LBJ Dr
1.9E+11,10/29/19 23:00,Disturbance - Noise,Verbal Warning,1980 Aquarena Springs Dr
1.9E+11,10/29/19 23:04,Disturbance - Noise,Citation Issued,817 Bracewood Cir
1.9E+11,10/29/19 23:42,Attempt to Locate,Ref oth Agncy,206 NB
1.9E+11,10/29/19 23:46,Disturbance - Verbal,Arrest,204 SB
1.9E+11,10/30/19 0:32,Suicidal Person,Report,2300 S IH 35
1.9E+11,10/30/19 0:47,Suicidal Person,Report,1401 E McCarty Ln
1.9E+11,10/30/19 1:45,Welfare Concern,Refer To COPR,210 NB
1.9E+11,10/30/19 2:13,Discharged Firearm,Report,1354 Thorpe Ln
1.9E+11,10/30/19 2:32,Assist EMS,Report,509 Patricia Dr
1.9E+11,10/30/19 2:46,Disturbance - Noise,Verbal Warning,1100blk Hazelton St
1.9E+11,10/30/19 6:56,Theft,Report,1550 Clovis Barker Rd
1.9E+11,10/30/19 8:05,Assault,Detention Juv,301 Foxtail Run
1.9E+11,10/30/19 12:05,Narcotics/Information,Report,2601 Rattler Rd
1.9E+11,10/30/19 12:10,Fraud,Report,120 Ridgeway Dr
1.9E+11,10/30/19 13:26,Police Incoming Call,Refer To COPR,414 S C M Allen Pkwy
1.9E+11,10/30/19 13:41,Animal Call,Ref oth Agncy,1650 River Rd
1.9E+11,10/30/19 15:06,Assault,Report,503 Uhland Rd
1.9E+11,10/30/19 15:55,Viol City Ordinance,Citation Issued,1015 Hwy 80
1.9E+11,10/30/19 15:59,Theft,Citation Issued,1015 Hwy 80
1.9E+11,10/30/19 16:09,Viol City Ordinance,Citation Issued,1015 Hwy 80
1.9E+11,10/30/19 17:06,Accident - Minor,Blue Form Issue,1300blk Sadler Dr
1.9E+11,10/30/19 17:20,Accident - Minor,Blue Form Issue,E Hopkins St/Thorpe Ln
1.9E+11,10/30/19 18:13,Accident - Minor,Blue Form Issue,201 E Access Rd
1.9E+11,10/30/19 18:37,Accident - Major/Injury,Report,1015 Hwy 80
1.9E+11,10/30/19 21:22,Accident - Minor,Blue Form Issue,Mill St/W Access Rd
1.9E+11,10/30/19 21:49,Animal Call,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,10/31/19 3:37,Mental Health Invest,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,10/31/19 5:54,Burglary - Vehicle,Refer To COPR,1101 Girard Ave
1.9E+11,10/31/19 6:44,Accident - Hit and Run,Blue Form Issue,920 Hwy 80
1.9E+11,10/31/19 6:55,Burglary - Vehicle,Refer To COPR,1008 Allen St
1.9E+11,10/31/19 7:53,Burglary - Vehicle,Refer To COPR,500blk Lindsey St
1.9E+11,10/31/19 11:53,Accident - Major/Injury,Report,1012 Hwy 123
1.9E+11,10/31/19 11:56,Police Incoming Call,Ref oth Agncy,2300 S IH 35
1.9E+11,10/31/19 12:44,Theft,Report,3939 S IH 35
1.9E+11,10/31/19 13:04,Burglary - Vehicle,Report,2300 S IH 35
1.9E+11,10/31/19 13:59,Burglary - Vehicle,Report,521 Candlelight Ln
1.9E+11,10/31/19 14:23,Criminal Mischief,Report,417 N Comanche St
1.9E+11,10/31/19 14:41,Disturbance - Phys/Fight,Citation Issued,1647 Post Rd
1.9E+11,10/31/19 14:48,Criminal Mischief,Report,1350 N LBJ Dr
1.9E+11,10/31/19 15:00,Wanted Person,Arrest,1200 N Bishop St
1.9E+11,10/31/19 15:01,Assault,Report,1249 N LBJ Dr
1.9E+11,10/31/19 15:13,Animal Call,Ref oth Agncy,187 Cazador Dr
1.9E+11,10/31/19 16:05,Accident - Unknown,Blue Form Issue,206 SB
1.9E+11,10/31/19 16:08,911 Abon/Misdial/Open,TDD Challenged,4023 SE SECTOR - AT&T MOBILITYMOBILITY
1.9E+11,10/31/19 16:10,Accident - Minor,Report,312 University Dr
1.9E+11,10/31/19 17:15,Burglary - Vehicle,Report,1350 Sadler Dr
1.9E+11,10/31/19 17:39,Accident - Major/Injury,Report,204 W Access Rd
1.9E+11,10/31/19 18:03,Burglary - Vehicle,Refer To COPR,2300 S IH 35
1.9E+11,10/31/19 18:04,Accident - Minor,Report,Hwy 123/Rattler Rd
1.9E+11,10/31/19 18:06,Traff/Transport Accident,Fire Call,Hwy123/Rattler Rd
1.9E+11,10/31/19 21:12,Accident - Minor,Report,E Sessom Dr/Peques St
1.9E+11,10/31/19 22:32,Disturbance - Noise,Verbal Warning,1410 N LBJ Dr
1.9E+11,10/31/19 22:36,Accident - Major/Injury,Report,Thorpe Ln/E Hopkins St
1.9E+11,10/31/19 23:36,Disturbance - Noise,Verbal Warning,1701 Mill St
1.9E+11,11/1/19 0:09,Disturbance - Noise,Citation Issued,109 Craddock Ave
1.9E+11,11/1/19 0:25,Disturbance - Noise,Verbal Warning,1101 Cheatham St
1.9E+11,11/1/19 0:34,Disturbance - Noise,Verbal Warning,1701 Mill St
1.9E+11,11/1/19 0:36,Disturbance - Noise,Verbal Warning,1451 Sadler Dr
1.9E+11,11/1/19 0:54,Disturbance - Noise,Citation Issued,522 Burleson St
1.9E+11,11/1/19 1:03,Disturbance - Noise,Verbal Warning,301 Telluride St
1.9E+11,11/1/19 1:03,Viol City Ordinance,Citation Issued,150 S LBJ Dr
1.9E+11,11/1/19 1:06,Assault - Aggravated,Report,Cheatham St/S Guadalupe St
1.9E+11,11/1/19 1:08,Accident - Hit and Run,Arrest,706 S Guadalupe St
1.9E+11,11/1/19 1:31,Disturbance - Noise,Verbal Warning,201 Telluride St
1.9E+11,11/1/19 1:47,Accident - Minor,Blue Form Issue,1410 N LBJ Dr
1.9E+11,11/1/19 1:58,911 Abon/Misdial/Open,TDD Challenged,137933 W SECTOR - VERIZON WIRELESSN WIRE
1.9E+11,11/1/19 2:24,Disturbance - Noise,Multiple Arrest,401 N Comanche St
1.9E+11,11/1/19 2:43,Property - Lost/Found/Imp,Report,2300 S IH 35
1.9E+11,11/1/19 2:52,Accident - Hit and Run,Report,913 N IH 35
1.9E+11,11/1/19 3:08,Disturbance - Noise,Verbal Warning,800blk Sagewood Trl
1.9E+11,11/1/19 4:09,Accident - Hit and Run,Blue Form Issue,1415 Craddock Ave
1.9E+11,11/1/19 4:15,Assist EMS,Arrest,1301 Wonder World Dr
1.9E+11,11/1/19 7:02,Accident - Major/Injury,Report,4600 Hwy 123
1.9E+11,11/1/19 7:18,Attempt to Locate,Ref oth Agncy,AXL04023 N SECTOR - AT&T MOBILITYOBILITY
