"address_canonical","property_name","longitude","latitude","value","owner_name","owner_address_1","owner_address_2","owner_address_3","owner_city","owner_state","owner_zip","ownership_percent","year"
"1441 LEAH AVE, SAN MARCOS, TX  78666","UNIVERSITY CLUB APTS",-97.9522417,29.8505625,13262432,"EENHOORN - UNIVERSITY CLUB LTD","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100,"2019"
"1451 SADLER DR, SAN MARCOS, TX  78666","FITZROY APTS",-97.9503787,29.8465803,2033800,"SADLER ROAD MF HJ LP","4611 BEE CAVE RD","STE 203",NA,"AUSTIN","TX","78746",100,"2019"
"1476 E MCCARTY LN, SAN MARCOS, TX  78666","MCCARTY COMMONS",-97.9664503,29.8346375,2609070,"MCCCARTY MF1 LLC","3710 RAWLINS ST","STE 1390",NA,"DALLAS","TX","75219",100,"2019"
"1506 S IH 35, SAN MARCOS, TX  78666","VILLAS AT WILLOW SPRINGS",-97.9457478,29.8661468,17870468,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST","FL 60",NA,"NEW YORK","NY","10019",50,"2019"
"1518 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","HIGHCREST APTS",-97.958323,29.893095,6303735,"SEQUOIA HIGHCREST LLC","207 MILAM ST","STE C",NA,"SHREVEPORT","LA","71101",100,"2019"
"1522 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","HIGHCREST APTS",-97.9675316,29.8967119,1478654,"SAN CREST LP TEX LP","ATTN SCOTTY JONES","207 MILAM ST # C",NA,"SHREVEPORT","LA","71101",100,"2019"
"1606 N IH 35, SAN MARCOS, TX  78666","AUTUMN CHASE APTS",-97.9121429,29.8941723,13550000,"ROSE-AUTUMN CHASE LP","% IRWIN R ROSE & CO INC","8801 RIVER CROSSING BLVD","STE 340","INDIANAPOLIS","IN","46240-2394",100,"2019"
"1610 N IH 35, SAN MARCOS, TX  78666","UNIVERSITY HEIGHTS",-97.906819,29.894493,34472814,"1610 FRONTAGE ROAD LP","1460 WESTWOOD BLVD","STE 300",NA,"LOS ANGELES","CA","90024",100,"2019"
"1612 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","STATE FLATS",-97.916172,29.89191,3030769,"1640 AQUARENA SPRINGS LLC","600 CONGRESS AVE","STE 1400",NA,"AUSTIN","TX","78701-3234",100,"2019"
"1617 POST RD, SAN MARCOS, TX  78666","POST OAK VILLAS",-97.9170517,29.9009733,2254054,"POST OAK VILLAS LLC","% JOHN M JOHNSON","1617 POST RD",NA,"SAN MARCOS","TX","78666",100,"2019"
"1623 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","SPRING WEST APTS",-97.9156461,29.8944815,3950628,"SM SPRING WEST LP","4709 HILLSBORO CIR",NA,NA,"SANTA ROSA","CA","95405-8776",100,"2019"
"1629 POST RD, SAN MARCOS, TX  78666","ELEVATION ON POST ROAD",-97.9169649,29.901945,10692137,"ARRIS SAN MARCOS ACQUISITION LLC","8902 CHATSWORTH DR",NA,NA,"HOUSTON","TX","77024-3710",100,"2019"
"1631 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","THE COLONY OF SAN MARCOS APTS",-97.915473,29.893477,4917171,"SM COLONY LP","3517 CYPRESS WAY",NA,NA,"SANTA ROSA","CA","95405-7605",100,"2019"
"1637 POST RD, SAN MARCOS, TX  78666","MOSSCLIFF APTS",-97.916222,29.902411,2596586,"MAPLEWOOD ESTATES LLC","1637 Post RD",NA,NA,"San Marcos","TX","78666-7511",100,"2019"
"1640 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","AQUA 16",-97.9162629,29.8919175,7793405,"1640 AQUARENA SPRINGS LLC","600 CONGRESS AVE","STE 1400",NA,"AUSTIN","TX","78701-3234",100,"2019"
"1647 POST RD, SAN MARCOS, TX  78666","THE OUTPOST APTS",-97.913717,29.904706,21900000,"ZCP OUTPOST LLC","1700 HILLSBOROUGH ST",NA,NA,"RALEIGH","NC","27605-1641",100,"2019"
"1650 RIVER RD, SAN MARCOS, TX  78666","BLANCO RIVER LODGE",-97.910477,29.8823603,17354883,"MFT-BLANCO RIVER LODGE LLC","3145 CIRCA DE TIERRA",NA,NA,"ENCINITAS","CA","92024-6906",100,"2019"
"1651 POST RD, SAN MARCOS, TX  78666","THE MILLENIUM ON POST ROAD",-97.9119451,29.9061974,7081184,"1651 MILLENNIUM POST ROAD LLC","2240 BELL FLOWER LN",NA,NA,"SANTA ROSA","CA","95404",100,"2019"
"1655 MILL ST, SAN MARCOS, TX  78666","WILDWOOD SAN MARCOS",-97.9147315,29.8994079,22250000,"VESPER WILDWOOD LLC","% VESPER HOLDINGS LLC","595 MADISON AVE","FL 37","NEW YORK","NY","10022-1641",100,"2019"
"1701 MILL ST, SAN MARCOS, TX  78666","COPPER BEECH",-97.9126895,29.900608,56100000,"COPPER BEECH TOWNHOME COMMUNITIES","ASSET CAMPUS HOUSING","PO BOX 55",NA,"STATE COLLEGE","PA","16804-0055",100,"2019"
"1703 N IH 35, SAN MARCOS, TX  78666","AVALON APTS",-97.9095629,29.8976305,4624840,"VERANDA S M II GP","1601 E 5TH ST","STE 108",NA,"AUSTIN","TX","78702-4494",100,"2019"
"1706 N IH 35, SAN MARCOS, TX  78666","WOODSTONE APTS",-97.908117,29.896806,530220,"YU FAMILY LIVING TRUST","YU THOMAS & JIEH-LEAN CHEN CLAUDIA TRUSTEES","124 WALNUT CREEK",NA,"CEDAR PARK","TX","78613",100,"2019"
"1740 RANCH ROAD 12, SAN MARCOS, TX  78666","The Edge Apts",-97.966951,29.8971873,23737940,"29SC EDGE LP","% 29TH STREET CAPITAL","ATTN: A. JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100,"2019"
"1750/1754 RIVER RD, SAN MARCOS, TX  78666","RIVER RIDGE APTS",-97.908644,29.883319,1618300,"RIVER RIDGE LLC","9663 SANTA MONICA BLVD","# 462",NA,"BEVERLY HILLS","CA","90210-4303",100,"2019"
"1800 POST RD, SAN MARCOS, TX  78666","ENCINO POINTE",-97.9109879,29.9074446,16044190,"CAP AREA ENCINO POINTE HOLDINGS LLC","4101 PARKSTONE HEIGHTS DR","STE 280",NA,"AUSTIN","TX","78746-7397",100,"2019"
"1805 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","RIVERSIDE RANCH",-97.907221,29.891877,1.7e+07,"ROCO RIVERSIDE RANCH LLC","33 BLOOMFIELD HILLS PKWY","STE 120",NA,"BLOOMFIELD HILLS","MI","48304-2945",100,"2019"
"1805 N IH 35, SAN MARCOS, TX  78666","VERANDAH APTS",-97.9078801,29.898771,5495160,"VERANDA HOLDINGS LTD","3312 PERRY LN",NA,NA,"AUSTIN","TX","78731-5331",100,"2019"
"1811 MEDICAL PKWY, SAN MARCOS, TX  78666","PARKWAY GRANDE APTS",-97.9441713,29.8556579,20829366,"PARKWAY GRANDE LLC","1811 MEDICAL PKWY",NA,NA,"SAN MARCOS","TX","78666-7526",100,"2019"
"1818 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","DAKOTA RANCH APTS",-97.969648,29.898018,18500000,"AGP DAKOTA OWNER LLC","370 LEXINGTON AVE","STE 607",NA,"NEW YORK","NY","10017",100,"2019"
"1850 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","VILLAGIO APTS",-97.908313,29.889931,21284346,"29SC VILLAGIO LP","1301 S CAPITAL OF TEXAS HWY","STE B340",NA,"WEST LAKE HILLS","TX","78746-6549",100,"2019"
"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","RIVER OAKS VILLAS",-97.9046648,29.8904825,12808676,"ARV SAN MARCOS","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100,"2019"
"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","COUNTRY OAKS APTS",-97.9050539,29.8922887,6315057,"COUNTRY OAKS APTS LP","500 N CAPITAL OF TEXAS HWY","BLDG 7",NA,"AUSTIN","TX","78746-3325",100,"2019"
"1951 HUNTER RD, SAN MARCOS, TX  78666","ELYSIAN AT PURGATORY CREEK APTS",-97.96113,29.8664544,35302799,"ELYSIAN AT PURGATORY CREEK LP","770 S POST OAK LN","STE 500",NA,"HOUSTON","TX","77056-1974",100,"2019"
"1975 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","THE LODGE AT SOUTHWEST",-97.9047724,29.8936936,33002696,"29SC LODGE LP","% 29TH STREET CAPITAL","ATTN: A JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100,"2019"
"1980 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","ASPEN HEIGHTS",-97.9022413,29.8923111,35898938,"ALLURE SAN MARCOS LLC","C/O HARRY SZAFRANSKI CPA","1415 QUEEN ANNE RD",NA,"TEANECK","NJ","07666",100,"2019"
"200 ROBBIE LN, SAN MARCOS, TX  78666","ENGLEBROOK APTS",-97.9256229,29.8879775,5157148,"SM ENGLEBROOK LP","3517 CYPRESS WAY",NA,NA,"SANTA ROSA","CA","95405",100,"2019"
"200 SPRINGTOWN WAY, SAN MARCOS, TX  78666","THE LYNDON",-97.9233679,29.8860926,25038690,"SPRINGTOWN VMU LTD","500 W 5TH STREET","STE 700",NA,"AUSTIN","TX","78701",100,"2019"
"201 FIRST ST, SAN MARCOS, TX  78666","VILLAGE GREEN APTS",-97.918996,29.8972709,2595863,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100,"2019"
"201 S MITCHELL ST, SAN MARCOS, TX  78666","DUNBAR TOWNHOMES",-97.9487515,29.8751571,354512,"MOUNTAIN LAUREL INVESTMENTS LLC","PO BOX 1230",NA,NA,"BUDA","TX","78610-1230",100,"2019"
"201 TELLURIDE DR, SAN MARCOS, TX  78666","THE VILLAGE ON TELLURIDE",-97.908421,29.900885,54199250,"CCSHP SAN MARCOS I LP","4043 WALNUT ST",NA,NA,"PHILADELPHIA","PA","19104-3550",100,"2019"
"205 CRADDOCK AVE, SAN MARCOS, TX  78666","LANGTRY APTS",-97.9581376,29.9009232,2348600,"LANGTRY GROUP LTD","1801 CHALK ROCK CV",NA,NA,"AUSTIN","TX","78735-1733",100,"2019"
"205 S MITCHELL ST, SAN MARCOS, TX  78666",NA,-97.9481982,29.8747864,405000,"OMAIS INVESTMENTS LLC","828 LAGO VISTA ST",NA,NA,"SAN MARCOS","TX","78666-9550",100,"2019"
"213 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.943091,29.8971399,258060,"DEKRAKER DAVID P & J DAVID &","DOROTHY MAUD","1805 VICTORIA LN",NA,"BRUNSVILLE","MN","55337",100,"2019"
"214 E SAN ANTONIO, SAN MARCOS, TX  78666","LINDSEY LOFTS APTS",-97.9390694,29.8818698,1082086,"LINDSEY LOFTS LTD","P O BOX 91383",NA,NA,"AUSTIN","TX","78709-1383",100,"2019"
"215 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.9428551,29.8971425,257780,"215 RAMSAY LLC","801 W BLUEBONNET DR",NA,NA,"SAN MARCOS","TX","78666-3638",100,"2019"
"217 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.9430059,29.8972797,263370,"217 RAMSAY LLC","801 W BLUEBONNET DR",NA,NA,"SAN MARCOS","TX","78666-3638",100,"2019"
"222 RAMSAY ST, SAN MARCOS, TX  78666","ICONIC VILLAGE",-97.9424527,29.8968641,2236590,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100,"2019"
"225 RAMSEY ST, SAN MARCOS, TX  78666","LOGAN RIDGE APTS",-97.9418781,29.897864,5221489,"225 LOGAN RIDGE LLC","210 BARTON SPRINGS RD",NA,NA,"AUSTIN","TX","78704-1214",100,"2019"
"250 S STAGECOACH TRL, SAN MARCOS, TX  78666","SAVANNAH CLUB APTS",-97.9626408,29.8609603,15661962,"STAGECOACH APARTMENT DEVELOPMENT LTD","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100,"2019"
"2913 HUNTER RD, SAN MARCOS, TX  78666","SIENNA POINTE APTS",-97.9760668,29.8469761,18010510,"CAP AREA SIENNA POINTE HOLDINGS LLC","Attn: CAPITAL AREA HOUSING FINANCE CORP","4101 PARKSTONE HEIGHTS DR","STE 280","AUSTIN","TX","78746-7397",100,"2019"
"2917 HUNTER RD, SAN MARCOS, TX  78666","TWINLAKE APTS",-97.977742,29.846956,1550000,"MCINTYRE GILL & MARDELLE TRUST","P O BOX 627",NA,NA,"SAN MARCOS","TX","78667-0627",100,"2019"
"311 CRADDOCK AVE, SAN MARCOS, TX  78666",NA,-97.9603289,29.8988903,397430,"JB CHISUM COMPANY INC","PO BOX 1371",NA,NA,"WIMBERLEY","TX","78676-1371",100,"2019"
"315 A-H MILL ST, SAN MARCOS, TX  78666","VILLAGE SQUARE APTS",-97.9188173,29.8955216,40460,"CASWELL JAMES D","PO BOX 18298",NA,NA,"AUSTIN","TX","78760",100,"2019"
"317 CRADDOCK AVE, SAN MARCOS, TX  78666","EXECUTIVE TOWNHOUSES",-97.9615638,29.8988531,5101759,"KPM EXECUTIVE TOWNHOUSES LLC","2106 QUAIL RUN",NA,NA,"SAN MARCOS","TX","78666-9495",100,"2019"
"319 NORTH ST, SAN MARCOS, TX  78666","NORTH ST APTS",-97.9459638,29.8843279,226610,"E & T REAL ESTATE LLC","142 CIMARRON PARK LOOP","STE A",NA,"BUDA","TX","78610-2837",100,"2019"
"327 WOOD ST, SAN MARCOS, TX  78666","COMANCHE APTS",-97.9456899,29.8873424,3731920,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100,"2019"
"345 CHAMPIONS BLVD, SAN MARCOS, TX  78666","CHAMPIONS CROSSING",-97.884793,29.948364,5487565,"SAN MARCOS AH-104","345 CHAMPION BLVD",NA,NA,"SAN MARCOS","TX","78666-6778",100,"2019"
"350 NORTH ST, SAN MARCOS, TX  78666","SANCTUARY LOFTS",-97.9454531,29.8843587,33317273,"SANCTUARY LOFTS LLC","C/O AMERICAN CAMPUS COMMUNITIES","PO BOX 530292",NA,"MOUNTAIN BROOK","AL","35253-0292",100,"2019"
"400 LINDA DR, SAN MARCOS, TX  78666","SUNDANCE APTS",-97.92484,29.878267,1410365,"ACA SUNDANCE LLC & KEN & JULIA SCHONE SPE LLC","% JAMES ROBERTO GATLIN","AUSTIN CAPITAL ADVISORS","401 CONGRESS AVE, STE 1540","AUSTIN","TX","78701",100,"2019"
"401 N FREDERICKSBURG ST, SAN MARCOS, TX  78666","VISTAS SAN MARCOS",-97.9433663,29.8852213,44696173,"ACC OP (VISTAS SAN MARCOS) LLC","C/O AMERICAN CAMPUS COMMUNITIES","PO BOX 530292",NA,"MOUNTAIN BROOK","AL","35253-0292",100,"2019"
"410 NORTH ST, SAN MARCOS, TX  78666","POLO CLUB",-97.9454319,29.8857294,1546515,"417 N COMANCHE PARTNERS LLC","4801 SPICEWOOD SPRINGS RD","STE 100",NA,"AUSTIN","TX","78759-8491",100,"2019"
"417 N COMANCHE ST, SAN MARCOS, TX  78666","POINTE SAN MARCOS",-97.9447296,29.8856146,17500000,"POINTE SAN MARCOS PARTNERS LP","4801 SPICEWOOD SPRINGS RD","STE 100",NA,"AUSTIN","TX","78759-8491",100,"2019"
"420 NORTH ST, SAN MARCOS, TX  78666","THE ELMS APTS",-97.9456871,29.8858038,460309,"HUTCHISON FAMILY TRUST","% RALPH HUTCHISON","1857 N 10TH DR",NA,"WASHOUGAL","WA","98671",100,"2019"
"435 N COMANCHE ST, SAN MARCOS, TX  78666","LINDSEY OAKS APTS",-97.9447508,29.8860399,1105979,"LINDSEY SQUARE LTD","% DUNN","2620 SUMMIT RIDGE DR",NA,"SAN MARCOS","TX","78666-4946",100,"2019"
