"Situs","ref_id","SitusLocation","CurrMarketValue","lon","lat","OwnerName","Address1","Address2","Address3","City","State","Zip","OwnershipPercent"
"101-109 CRADDOCK AVE, SAN MARCOS, TX  78666","R101720","BISHOP'S SQUARE",17244146,-97.9542188,29.9032433,"HSRE-SC LLC","PO BOX 530292",NA,NA,"MOUNTAIN BROOK","AL","35253-0292",100
"1518 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","R30479","HIGHCREST APTS",6303735,-97.958323,29.893095,"SEQUOIA HIGHCREST LLC","207 MILAM ST","STE C",NA,"SHREVEPORT","LA","71101",100
"1476 E MCCARTY LN, SAN MARCOS, TX  78666","R160394","MCCARTY COMMONS",2609070,-97.9664503,29.8346375,"MCCCARTY MF1 LLC","3710 RAWLINS ST","STE 1390",NA,"DALLAS","TX","75219",100
"410 NORTH ST, SAN MARCOS, TX  78666","R155306","POLO CLUB",1546515,-97.9454319,29.8857294,"417 N COMANCHE PARTNERS LLC","4801 SPICEWOOD SPRINGS RD","STE 100",NA,"AUSTIN","TX","78759-8491",100
"1350 SADLER DR, SAN MARCOS, TX  78666","R103062","SPRINGMARC APTS",26218118,-97.950305,29.8488604,"BREIT STEADFAST MF SPRINGMARC TX LP","% BREIT STEADFAST MF JV LP","345 PARK AVENUE",NA,"NEW YORK","NY","10154",100
"345 CHAMPIONS BLVD, SAN MARCOS, TX  78666","R101717","CHAMPIONS CROSSING",5487565,-97.884793,29.948364,"SAN MARCOS AH-104","345 CHAMPION BLVD",NA,NA,"SAN MARCOS","TX","78666-6778",100
"1351 THORPE LN, SAN MARCOS, TX  78666","R147831","THE HAVEN AT THORPE LANE",17154680,-97.9208265,29.8911432,"HAVEN AT THORPE LANE LLC","675 BERING","STE 550",NA,"HOUSTON","TX","77057",100
"1980 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R140385","ASPEN HEIGHTS",35898938,-97.9022413,29.8923111,"ALLURE SAN MARCOS LLC","C/O HARRY SZAFRANSKI CPA","1415 QUEEN ANNE RD",NA,"TEANECK","NJ","07666",100
"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R63204","RIVER OAKS VILLAS",12808676,-97.9046648,29.8904825,"ARV SAN MARCOS","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100
"613 W SAN ANTONIO ST, SAN MARCOS, TX  78666","R24607","HERNDON HOUSE APTS",1384060,-97.9462191,29.8793735,"SAN MARCOS APARTMENTS 36 LLC","13801 VENTURA BLVD",NA,NA,"SHERMAN OAKS","CA","91423",100
"1740 RANCH ROAD 12, SAN MARCOS, TX  78666","R89484","The Edge Apts",23737940,-97.966951,29.8971873,"29SC EDGE LP","% 29TH STREET CAPITAL","ATTN: A. JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100
"1410 N LBJ DR, SAN MARCOS, TX  78666","R137829","THE COTTAGES AT HILLSIDE RANCH",21040750,-97.9472177,29.8997798,"GS SML LP","1410 N LBJ DR",NA,NA,"SAN MARCOS","TX","78666-3022",100
"417 N COMANCHE ST, SAN MARCOS, TX  78666","R151367","POINTE SAN MARCOS",17500000,-97.9447296,29.8856146,"POINTE SAN MARCOS PARTNERS LP","4801 SPICEWOOD SPRINGS RD","STE 100",NA,"AUSTIN","TX","78759-8491",100
"1703 N IH 35, SAN MARCOS, TX  78666","R21907","AVALON APTS",4624840,-97.9095629,29.8976305,"VERANDA S M II GP","1601 E 5TH ST","STE 108",NA,"AUSTIN","TX","78702-4494",100
"1011 WONDER WORLD DR, SAN MARCOS, TX  78666","R71119","PALAZZO APTS II",32143356,-97.9506411,29.8558844,"PALAZZO PARTNERS LP","1025 KANE CONCOURSE","STE 215",NA,"BAY HARBOR ISLANDS","FL","33154-2118",100
"1805 N IH 35, SAN MARCOS, TX  78666","R21906","VERANDAH APTS",5495160,-97.9078801,29.898771,"VERANDA HOLDINGS LTD","3312 PERRY LN",NA,NA,"AUSTIN","TX","78731-5331",100
"1204 N LBJ DR, SAN MARCOS, TX  78666","R10316","STONEGATE APTS",1541493,-97.9440273,29.8964549,"STONEGATE LONE STAR LLC","1010 SUNSET PL",NA,NA,"OJAI","CA","93023",100
"1631 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R12189","THE COLONY OF SAN MARCOS APTS",4917171,-97.915473,29.893477,"SM COLONY LP","3517 CYPRESS WAY",NA,NA,"SANTA ROSA","CA","95405-7605",100
"200 SPRINGTOWN WAY, SAN MARCOS, TX  78666","R155299","THE LYNDON",25038690,-97.9233679,29.8860926,"SPRINGTOWN VMU LTD","500 W 5TH STREET","STE 700",NA,"AUSTIN","TX","78701",100
"1701 MILL ST, SAN MARCOS, TX  78666","R134108","COPPER BEECH",56100000,-97.9126895,29.900608,"COPPER BEECH TOWNHOME COMMUNITIES","ASSET CAMPUS HOUSING","PO BOX 55",NA,"STATE COLLEGE","PA","16804-0055",100
"1101 LEAH AVE, SAN MARCOS, TX  78666","R23497","CEDARS OF SAN MARCOS",13166618,-97.948598,29.854549,"RR CEDARS OWNER LLC","4600 E WEST HWY","STE 610",NA,"BETHESDA","MD","20814-3668",100
"512 CRADDOCK AVE, SAN MARCOS, TX  78666","R135856","THE RETREAT",45971702,-97.9630111,29.8936028,"ACC OP (RETREAT SM) LLC","PO BOX 530292",NA,NA,"MOUNTAIN BROOK","AL","35253-0292",100
"1647 POST RD, SAN MARCOS, TX  78666","R110706","THE OUTPOST APTS",21900000,-97.913717,29.904706,"ZCP OUTPOST LLC","1700 HILLSBOROUGH ST",NA,NA,"RALEIGH","NC","27605-1641",100
"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R62652","COUNTRY OAKS APTS",6315057,-97.9050539,29.8922887,"COUNTRY OAKS APTS LP","500 N CAPITAL OF TEXAS HWY","BLDG 7",NA,"AUSTIN","TX","78746-3325",100
"1522 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","R30477","HIGHCREST APTS",1478654,-97.9675316,29.8967119,"SAN CREST LP TEX LP","ATTN SCOTTY JONES","207 MILAM ST # C",NA,"SHREVEPORT","LA","71101",100
"600 LEAH AVE, SAN MARCOS, TX  78666","R90006","THE WELLINGTON",6355641,-97.944405,29.857077,"GALVESTON VILLA MARINA LTD","% JAMES A BRANFIELD SR","161 W SHADOWBEND AVE #100",NA,"FRIENDSWOOD","TX","77546",100
"1617 POST RD, SAN MARCOS, TX  78666","R70715","POST OAK VILLAS",2254054,-97.9170517,29.9009733,"POST OAK VILLAS LLC","% JOHN M JOHNSON","1617 POST RD",NA,"SAN MARCOS","TX","78666",100
"1651 POST RD, SAN MARCOS, TX  78666","R137860","THE MILLENIUM ON POST ROAD",7081184,-97.9119451,29.9061974,"1651 MILLENNIUM POST ROAD LLC","2240 BELL FLOWER LN",NA,NA,"SANTA ROSA","CA","95404",100
"121 CRADDOCK AVE, SAN MARCOS, TX  78666","R93316","METROPOLITAN APTS",8e+06,-97.9567834,29.9020933,"MET APARTMENTS GC LLC &","MET APARTMENTS IW LLC","121 CRADDOCK AVENUE",NA,"SAN MARCOS","TX","78666",100
"520 LINDA DR, SAN MARCOS, TX  78666","R45928","TOWNWOOD APTS",8693803,-97.921717,29.879702,"TOWNWOOD PROPERTIES LLC","PO BOX 790645",NA,NA,"SAN ANTONIO","TX","78279-0645",100
"225 RAMSEY ST, SAN MARCOS, TX  78666","R134096","LOGAN RIDGE APTS",5221489,-97.9418781,29.897864,"225 LOGAN RIDGE LLC","210 BARTON SPRINGS RD",NA,NA,"AUSTIN","TX","78704-1214",100
"1354 THORPE LN, SAN MARCOS, TX  78666","R140989","UPTOWN SQUARE APTS",40158730,-97.9187444,29.8896297,"SAN MARCOS STUDENT LIVING DST","PO BOX 3666","ATTN: PROPERTY TAX DEPT",NA,"OAK BROOK","IL","60522-3666",100
"810 N LBJ DR, SAN MARCOS, TX  78666","R27769","Iconic Village Apts.",1223388,-97.9413462,29.8935635,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100
"MILL ST, SAN MARCOS, TX  78666","R98472","BOBCAT VILLAGE",3535560,-97.9159986,29.8976193,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100
"1201 THORPE LN, SAN MARCOS, TX  78666","R92454","ALLEN WOOD HOMES",9104680,-97.924538,29.8884693,"SAN MARCOS CITY OF","630 E HOPKINS ST",NA,NA,"SAN MARCOS","TX","78666",100
"1506 S IH 35, SAN MARCOS, TX  78666","R144990","VILLAS AT WILLOW SPRINGS",17870468,-97.9457478,29.8661468,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST","FL 60",NA,"NEW YORK","NY","10019",50
"1850 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R71081","VILLAGIO APTS",21284346,-97.908313,29.889931,"29SC VILLAGIO LP","1301 S CAPITAL OF TEXAS HWY","STE B340",NA,"WEST LAKE HILLS","TX","78746-6549",100
"117 SEGUIN ST, SAN MARCOS, TX  78666","R38793","VILLAGE GREEN APTS",2123888,-97.9189349,29.8978759,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100
"1348 THORPE LN, SAN MARCOS, TX  78666","R43973","SUMMIT APTS",6432878,-97.919577,29.889011,"SUMMIT SAN MARCOS LLC","24708 TRAVIS LAKESIDE CV",NA,NA,"SPICEWOOD","TX","78669-1442",100
"1101 E RIVER RIDGE PKWY, SAN MARCOS, TX  78666","R116589","THE HEIGHTS II",26145589,-97.8987897,29.9044705,"UNIVERSITY HEIGHTS II SAN MARCOS APARTMENTS","1101 E RIVER RIDGE PKWY",NA,NA,"SAN MARCOS","TX","78666-0003",100
