"Situs","ref_id","SitusLocation","CurrMarketValue","lon","lat","OwnerName","Address1","Address2","Address3","City","State","Zip","OwnershipPercent"
"1350 SADLER DR, SAN MARCOS, TX  78666","R103062","SPRINGMARC APTS",26218118,-97.950305,29.8488604,"BREIT STEADFAST MF SPRINGMARC TX LP","% BREIT STEADFAST MF JV LP","345 PARK AVENUE",NA,"NEW YORK","NY","10154",100
"1654 POST RD, SAN MARCOS, TX  78666","R130243","GREEN SPRING VILLAGE APTS",3036560,-97.9125611,29.9043503,"HINOJOSA RICARDO GARZA","9801 S CAGE BLVD","STE 5",NA,"PHARR","TX","78577-9481",100
"1740 RANCH ROAD 12, SAN MARCOS, TX  78666","R89484","The Edge Apts",23737940,-97.966951,29.8971873,"29SC EDGE LP","% 29TH STREET CAPITAL","ATTN: A. JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100
"1610 N IH 35, SAN MARCOS, TX  78666","R105374","UNIVERSITY HEIGHTS",34472814,-97.9070704,29.8944943,"1610 FRONTAGE ROAD LP","1460 WESTWOOD BLVD","STE 300",NA,"LOS ANGELES","CA","90024",100
"1271 SADLER DR, SAN MARCOS, TX 78666","R146393","SADLER HOUSE APARTMENTS",26641199,-97.9493097,29.8489577,"HAYDEN FIFTH AVENUE LLC","Attn: ASHLEY HAYDEN","3 MONROE PKWY",NA,"LAKE OSWEGO","OR","97035",100
"1617 POST RD, SAN MARCOS, TX  78666","R70715","POST OAK VILLAS",2254054,-97.9170517,29.9009733,"POST OAK VILLAS LLC","% JOHN M JOHNSON","1617 POST RD",NA,"SAN MARCOS","TX","78666",100
"1506 S IH 35, SAN MARCOS, TX  78666","R144990","VILLAS AT WILLOW SPRINGS",17870468,-97.6896545,30.5222481,"WILLOW SPRINGS OTM HARMONY LP","152 W 57TH ST","FL 60",NA,"NEW YORK","NY","10019",50
"2913 HUNTER RD, SAN MARCOS, TX  78666","R141087","SIENNA POINTE APTS",18010510,-97.9760668,29.8469761,"CAP AREA SIENNA POINTE HOLDINGS LLC","Attn: CAPITAL AREA HOUSING FINANCE CORP","4101 PARKSTONE HEIGHTS DR","STE 280","AUSTIN","TX","78746-7397",100
"1201 THORPE LN, SAN MARCOS, TX  78666","R92454","ALLEN WOOD HOMES",9104680,-97.924538,29.8884693,"SAN MARCOS CITY OF","630 E HOPKINS ST",NA,NA,"SAN MARCOS","TX","78666",100
"512 CRADDOCK AVE, SAN MARCOS, TX  78666","R135856","THE RETREAT",45971702,-97.9630111,29.8936028,"ACC OP (RETREAT SM) LLC","PO BOX 530292",NA,NA,"MOUNTAIN BROOK","AL","35253-0292",100
"225 RAMSEY ST, SAN MARCOS, TX  78666","R134096","LOGAN RIDGE APTS",5221489,-97.9418781,29.897864,"225 LOGAN RIDGE LLC","210 BARTON SPRINGS RD",NA,NA,"AUSTIN","TX","78704-1214",100
"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R62652","COUNTRY OAKS APTS",6315057,-97.9050539,29.8922887,"COUNTRY OAKS APTS LP","500 N CAPITAL OF TEXAS HWY","BLDG 7",NA,"AUSTIN","TX","78746-3325",100
"900 PEQUES, SAN MARCOS, TX  78666","R10359","TIMBERS APTS",7217798,-97.9364154,29.8929966,"TIMBERS CAPITAL PARTNERS LLC","12121 WILSHIRE BLVD","STE 700",NA,"LOS ANGELES","CA","90025-1168",100
"1606 N IH 35, SAN MARCOS, TX  78666","R32732","AUTUMN CHASE APTS",13550000,-97.9121429,29.8941723,"ROSE-AUTUMN CHASE LP","% IRWIN R ROSE & CO INC","8801 RIVER CROSSING BLVD","STE 340","INDIANAPOLIS","IN","46240-2394",100
"1850 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R71081","VILLAGIO APTS",21284346,-97.908313,29.889931,"29SC VILLAGIO LP","1301 S CAPITAL OF TEXAS HWY","STE B340",NA,"WEST LAKE HILLS","TX","78746-6549",100
"200 ROBBIE LN, SAN MARCOS, TX  78666","R27104","ENGLEBROOK APTS",5157148,-97.9256229,29.8879775,"SM ENGLEBROOK LP","3517 CYPRESS WAY",NA,NA,"SANTA ROSA","CA","95405",100
"327 WOOD ST, SAN MARCOS, TX  78666","R36015","COMANCHE APTS",3731920,-97.9456899,29.8873424,"TEXAS STATE UNIVERSITY-SAN MARCOS","Attn: VP FOR FINANCE AND SUPPORT SERVICES","601 UNIVERSITY DR",NA,"SAN MARCOS","TX","78666-4684",100
"1818 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","R101329","DAKOTA RANCH APTS",18500000,-97.969648,29.898018,"AGP DAKOTA OWNER LLC","370 LEXINGTON AVE","STE 607",NA,"NEW YORK","NY","10017",100
"705 W RIVER RD, SAN MARCOS, TX  78666","R151979","CURVE AT RIVER ROAD",6063140,-97.92543,29.870213,"SMTX APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELES","CA","90035-1461",100
"1351 THORPE LN, SAN MARCOS, TX  78666","R147831","THE HAVEN AT THORPE LANE",17154680,-97.9208265,29.8911432,"HAVEN AT THORPE LANE LLC","675 BERING","STE 550",NA,"HOUSTON","TX","77057",100
"117 SEGUIN ST, SAN MARCOS, TX  78666","R38793","VILLAGE GREEN APTS",2123888,-97.9189349,29.8978759,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100
"142 WINDMILL DR, SAN MARCOS, TX  78666","R48573","LARKSPUR TOWNHOMES",2351951,-97.9462051,29.8935085,"LARKSPUR, TOWNHOMES LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100
"1640 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R12020","AQUA 16",7793405,-97.9162629,29.8919175,"1640 AQUARENA SPRINGS LLC","600 CONGRESS AVE","STE 1400",NA,"AUSTIN","TX","78701-3234",100
"518 LINDA DR, SAN MARCOS, TX  78666","R12074","THE NEST APTS",5750000,-97.9226659,29.8794219,"JOCO OFF 135 LP","1515 S CAPITAL OF TEXAS HWY","STE 411",NA,"AUSTIN","TX","78746-6951",100
"1800 POST RD, SAN MARCOS, TX  78666","R132483","ENCINO POINTE",16044190,-97.9109879,29.9074446,"CAP AREA ENCINO POINTE HOLDINGS LLC","4101 PARKSTONE HEIGHTS DR","STE 280",NA,"AUSTIN","TX","78746-7397",100
"401 N FREDERICKSBURG ST, SAN MARCOS, TX  78666","R137889","VISTAS SAN MARCOS",44696173,-97.9433663,29.8852213,"ACC OP (VISTAS SAN MARCOS) LLC","C/O AMERICAN CAMPUS COMMUNITIES","PO BOX 530292",NA,"MOUNTAIN BROOK","AL","35253-0292",100
"1951 HUNTER RD, SAN MARCOS, TX  78666","R134099","ELYSIAN AT PURGATORY CREEK APTS",35302799,-97.96113,29.8664544,"ELYSIAN AT PURGATORY CREEK LP","770 S POST OAK LN","STE 500",NA,"HOUSTON","TX","77056-1974",100
"1111 AVALON PKWY, SAN MARCOS, TX  78666","R137845","THE AVENUE APTS.",34150400,-97.8997268,29.907182,"CD/PARK 7 SAN MARCOS OWNER LP","Attn: MR. PAUL LEVINE","461 PARK AVE S","FL 4","NEW YORK","NY","10016-6822",100
"1522 OLD RANCH ROAD 12, SAN MARCOS, TX  78666","R30477","HIGHCREST APTS",1478654,-97.9675316,29.8967119,"SAN CREST LP TEX LP","ATTN SCOTTY JONES","207 MILAM ST # C",NA,"SHREVEPORT","LA","71101",100
"605 W HUTCHISON ST, SAN MARCOS, TX  78666","R35222","APARTMENTS 605",1180243,-97.9483259,29.8811547,"605 APARTMENTS LLC","26411 TOWNSHIP ST",NA,NA,"SANTA CLARITA","CA","91350-1864",100
"345 CHAMPIONS BLVD, SAN MARCOS, TX  78666","R101717","CHAMPIONS CROSSING",5487565,-97.884793,29.948364,"SAN MARCOS AH-104","345 CHAMPION BLVD",NA,NA,"SAN MARCOS","TX","78666-6778",100
"1101 E RIVER RIDGE PKWY, SAN MARCOS, TX  78666","R116589","THE HEIGHTS II",26145589,-97.8987872,29.9044693,"UNIVERSITY HEIGHTS II SAN MARCOS APARTMENTS","1101 E RIVER RIDGE PKWY",NA,NA,"SAN MARCOS","TX","78666-0003",100
"755 RIVER RD, SAN MARCOS, TX  78666","R100638","RIVER ROAD APARTMENTS",1196670,-97.9239504,29.8714978,"KAVI RIVER ROAD LLC","2101 BRICKELL AVE","APT 1106",NA,"MIAMI","FL","33129",100
"1631 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R12189","THE COLONY OF SAN MARCOS APTS",4917171,-97.915473,29.893477,"SM COLONY LP","3517 CYPRESS WAY",NA,NA,"SANTA ROSA","CA","95405-7605",100
"250 S STAGECOACH TRL, SAN MARCOS, TX  78666","R105160","SAVANNAH CLUB APTS",15661962,-97.9626408,29.8609603,"STAGECOACH APARTMENT DEVELOPMENT LTD","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100
"1975 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R100679","THE LODGE AT SOUTHWEST",33002696,-97.9047724,29.8936936,"29SC LODGE LP","% 29TH STREET CAPITAL","ATTN: A JOHN PRICE PhD","1301 CAPITAL OF TEXAS HWY; STE B-340","AUSTIN","TX","78746",100
"1750/1754 RIVER RD, SAN MARCOS, TX  78666","R100110","RIVER RIDGE APTS",1618300,-97.908644,29.883319,"RIVER RIDGE LLC","9663 SANTA MONICA BLVD","# 462",NA,"BEVERLY HILLS","CA","90210-4303",100
"1348 THORPE LN, SAN MARCOS, TX  78666","R43973","SUMMIT APTS",6432878,-97.919577,29.889011,"SUMMIT SAN MARCOS LLC","24708 TRAVIS LAKESIDE CV",NA,NA,"SPICEWOOD","TX","78669-1442",100
"1980 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R140385","ASPEN HEIGHTS",35898938,-97.9022413,29.8923111,"ALLURE SAN MARCOS LLC","C/O HARRY SZAFRANSKI CPA","1415 QUEEN ANNE RD",NA,"TEANECK","NJ","07666",100
"317 CRADDOCK AVE, SAN MARCOS, TX  78666","R32277","EXECUTIVE TOWNHOUSES",5101759,-97.9615638,29.8988531,"KPM EXECUTIVE TOWNHOUSES LLC","2106 QUAIL RUN",NA,NA,"SAN MARCOS","TX","78666-9495",100
