Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
180000000442,2018-01-03T13:22:28Z,Theft,Refer To COPR,"Smith, Marcus",2300 S IH 35
180000000446,2018-01-03T13:47:04Z,Criminal Mischief,Warning,,2913 Hunter Rd
180000000462,2018-01-03T14:54:43Z,Accident - Hit and Run,Blue Form Issue,"Scott, Charles",19215 San Marcos Hwy
180000000472,2018-01-03T16:01:33Z,Vehicle Theft,Report,"Wooten, Christopher",1334 N IH 35
180000000485,2018-01-03T16:56:26Z,Accident - Hit and Run,Report,"Murphy, Logan",Georgia St/Virginia St
180000000487,2018-01-03T17:01:02Z,Theft,Report,"Wisener, Andrew",1001 Leah Ave
180000000500,2018-01-03T18:47:50Z,Sexual Assault,Report,"Wooten, Christopher",2300 S IH 35
180000000571,2018-01-04T06:29:55Z,Accident - Minor,Citation Issued,"Verver, Elias",Hwy 123/Redwood Rd
180000000578,2018-01-04T07:29:23Z,Attempt to Locate,Ref oth Agncy,,199 SB
180000000589,2018-01-04T09:11:21Z,Welfare Concern,Report,"Murphy, Logan",100 Warden Ln
180000000602,2018-01-04T10:32:07Z,Theft,Report,"Beller, Paul",1019 Hwy 80
180000000637,2018-01-04T14:13:38Z,Theft,Refer To COPR,"Easterly, Evan",1900 Medical Pkwy
180000000668,2018-01-04T17:25:13Z,Welfare Concern,Arrest,"Sarver, Stephen",105 N IH 35h
180000000669,2018-01-04T17:43:42Z,Attempt to Locate,Ref oth Agncy,,210 NB
180000000673,2018-01-04T18:05:26Z,Assault,Citation Issued,"Wooten, Christopher",201 First St
180000000681,2018-01-04T18:35:31Z,Disturbance - Verbal,Arrest,"Wooten, Christopher",821 Bracewood Cir
180000000684,2018-01-04T18:55:13Z,Fraud,Report,"Sarver, Stephen",1101 Hwy 123
180000000694,2018-01-04T19:49:26Z,Burglary - Vehicle,Refer To COPR,"Cyrus, Lance",319 Clara St
180000000702,2018-01-04T20:37:15Z,Theft,Report,"Sarver, Stephen",4015 S IH 35
180000000712,2018-01-04T21:15:43Z,Theft,Refer To COPR,"Williams, Jack",1011 Uhland Rd
180000000720,2018-01-04T22:06:05Z,Sexual Assault,Report,"Blackwood, Kevin",100 Blk Craddock Ave
180000000730,2018-01-04T23:12:57Z,Disturbance - Noise,Verbal Warning,"Royal, GeCorrie",112 West Ave
180000000737,2018-01-05T00:21:11Z,Disturbance - Phys/Fight,Report,"Cyrus, Lance",1754 River Rd
180000000743,2018-01-05T01:00:52Z,Disturbance - Verbal,Arrest,"Williams, Jack",1224 N LBJ Dr
180000000749,2018-01-05T01:40:56Z,Disturbance - Phys/Fight,Arrest,"Gonzales, Gavin",106 W Hopkins St
180000000771,2018-01-05T08:18:06Z,Criminal Mischief,Report,"Sembera, Jeremy",138 W San Antonio St
180000000801,2018-01-05T12:22:21Z,Accident - Minor,Report,"Sparenberg, Andrew",817 N IH 35
180000000804,2018-01-05T12:37:06Z,Property - Lost/Found/Imp,Arrest,"Aubry, Patrick",1433 N IH 35
180000000810,2018-01-05T13:02:02Z,Theft,Refer To COPR,"Sparenberg, Andrew",1647 Post Rd
180000000814,2018-01-05T13:53:53Z,Accident - Major/Injury,Report,"Sparenberg, Andrew",102 N IH 35
180000000844,2018-01-05T16:57:03Z,Accident - Unknown,Report,"Tureaud, Benjamin",204 NB
180000000864,2018-01-05T18:24:02Z,Runaway,Detention Juv,"Tureaud, Benjamin",2601 Rattler Rd
180000000886,2018-01-05T20:19:09Z,Trespassing/Unwanted,Arrest,"Tennant, Casey",518 Patton St
180000000887,2018-01-05T20:26:29Z,Suspicious Person,Multiple Arrest,"Tureaud, Benjamin",1004 N IH 35
180000000893,2018-01-05T21:17:47Z,Burglary - Habitation,Report,"Contreras, Ysidro",1141 Overlook Way
180000000896,2018-01-05T21:31:40Z,Threat,Report,"Marroquin, Christopher",1642 Aquarena Springs Dr
180000000904,2018-01-05T22:55:54Z,Supplement,Report,"Gibson, Kathryn",2106 Hunter Rd
180000000910,2018-01-05T23:41:48Z,Indecency w Child,Report,"Osborne, Joseph",903 Hillyer St
180000000920,2018-01-06T01:04:40Z,Suspicious Person,Arrest,"Tureaud, Benjamin",Bugg Ln/Clarewood Dr
180000000924,2018-01-06T01:36:30Z,Theft,Refer To COPR,"Tennant, Casey",1302 W Hopkins St
180000000926,2018-01-06T01:39:44Z,Alcohol Violation,Citation Issued,"Fischer, Vincent",100 N Guadalupe St
180000000931,2018-01-06T02:25:19Z,Public Intoxication,Arrest,"McGee, Miranda",100 N Guadalupe St
180000000933,2018-01-06T02:33:49Z,Attempt to Locate,Ref oth Agncy,,EXIT 206 SB
180000000938,2018-01-06T02:58:10Z,Suspicious Circumstances,Arrest,"Tennant, Casey",1301 Wonder World Dr
180000000948,2018-01-06T07:31:50Z,Accident - Unknown,Report,"Sparenberg, Andrew",River Rd/Hwy 80
180000000979,2018-01-06T12:03:30Z,Disturbance - Phys/Fight,Arrest,"Sembera, Jeremy",1635 Aquarena Springs Dr
180000000984,2018-01-06T12:50:07Z,Indecent Exposure,Report,"Cope, John",641 E Hopkins St
180000000996,2018-01-06T14:54:27Z,Attempt to Locate,Report,"Daenzer, Matthew",Scott St/W Hopkin St
180000000999,2018-01-06T15:09:00Z,Accident - Minor,Report,"Daenzer, Matthew",2200blk S IH 35
180000001003,2018-01-06T15:26:11Z,Burglary - Building,Report,"Harrison, Todd",1620 S IH 35
180000001013,2018-01-06T16:13:10Z,Accident - Minor,Blue Form Issue,"Marroquin, Christopher",2600 Hunter Rd
180000001014,2018-01-06T16:13:53Z,Theft,Refer To COPR,"Osborne, Joseph",3943 S IH 35
180000001021,2018-01-06T16:33:30Z,Theft,Arrest,"Tureaud, Benjamin",419 Riverside Dr
180000001022,2018-01-06T16:35:00Z,Accident - Hit and Run,Blue Form Issue,"Fischer, Vincent",100blk E San Antonio St
180000001024,2018-01-06T16:45:17Z,Viol City Ordinance,Verbal Warning,"Colburn, Billy",721 Georgia St
180000001035,2018-01-06T18:21:04Z,Credit/Debit Abuse,Report,"Duckworth, Daniel",1012 Allen St
180000001042,2018-01-06T19:00:54Z,Welfare Concern,Report,"Marroquin, Christopher",1818 Old Ranch Road 12
180000001066,2018-01-06T21:41:03Z,Accident - Major/Injury,Report,"McGee, Miranda",Hwy 21/Airport Dr
180000001071,2018-01-06T21:52:11Z,Accident - Hit and Run,Blue Form Issue,"Seals, Bradley",100blk N LBJ Dr
180000001073,2018-01-06T21:55:56Z,Accident - Major/Injury,Report,"Osborne, Joseph",637 Bandera St
180000001079,2018-01-06T22:40:16Z,Disturbance - Noise,Verbal Warning,"Alvarado, Manuel",1350 N LBJ Dr
180000001083,2018-01-06T22:55:29Z,Disturbance - Noise,Verbal Warning,"Marroquin, Christopher",1008 Mead St
180000001096,2018-01-06T23:32:44Z,Disturbance - Verbal,Arrest,"Alvarado, Manuel",350 North St
180000001112,2018-01-07T00:55:16Z,Disturbance - Noise,Verbal Warning,"Tennant, Casey",1518 Old Ranch Road 12
180000001117,2018-01-07T01:04:36Z,Discharged Firearm,Verbal Warning,"Tennant, Casey",650 River Rd
180000001123,2018-01-07T01:41:50Z,Burglary - Habitation,Refer To COPR,"Tennant, Casey",1740 Old Ranch Road 12
180000001142,2018-01-07T03:12:23Z,Assault,Arrest,"Tennant, Casey",1420 Old Ranch Road 12
180000001149,2018-01-07T04:00:52Z,Assist Outside Agency,Report,"Alvarado, Manuel",1015 Hwy 80
180000001154,2018-01-07T05:07:39Z,Attempt to Locate,Ref oth Agncy,,206 SB
180000001158,2018-01-07T07:38:40Z,Attempt to Locate,Warning,"Castillo, Daniel",207 SB
180000001160,2018-01-07T08:27:05Z,Disturbance - Phys/Fight,Report,"Sembera, Jeremy",1703 N IH 35
180000001172,2018-01-07T11:03:14Z,Accident - Minor,Report,"Sparenberg, Andrew",500blk E Hopkins St
180000001184,2018-01-07T12:23:43Z,Fraud,Report,"Daenzer, Matthew",105 Wonder World Dr
180000001187,2018-01-07T13:01:40Z,Accident - Unknown,Report,"Daenzer, Matthew",105 Wonder World Dr
180000001190,2018-01-07T13:14:58Z,Supplement,Refer To COPR,"Sparenberg, Andrew",304 Linda Dr
180000001215,2018-01-07T15:49:50Z,Theft,Report,"Slaughter, Dustin",3939 S IH 35
180000001218,2018-01-07T16:43:25Z,Theft,Citation Issued,"Tureaud, Benjamin",1015 Hwy 80
180000001224,2018-01-07T18:02:14Z,Theft,Citation Issued,"Tureaud, Benjamin",Clair Dr/Sturgeon Dr
180000001236,2018-01-07T20:41:48Z,Theft,Citation Issued,"Tureaud, Benjamin",1015 Hwy 80
180000001238,2018-01-07T20:56:40Z,Assist EMS,Fire Call,"Fischer, Vincent",109 Riviera St
180000001251,2018-01-07T23:33:59Z,Disturbance - Noise,Citation Issued,"Tennant, Casey",104 Redbud Ct
180000001259,2018-01-08T00:59:46Z,Disturbance - Noise,Verbal Warning,"Alvarado, Manuel",417 N Comanche St
180000001272,2018-01-08T03:41:37Z,Trespassing/Unwanted,Warning,"Tennant, Casey",1105 N IH 35
180000001281,2018-01-08T07:39:09Z,Accident - Major/Injury,Report,"Beller, Paul",W Access Rd/Riverside Dr
180000001290,2018-01-08T08:22:06Z,Assault,Detention Juv,"Castillo, DJ",121 E DeZavala Dr
180000001294,2018-01-08T09:04:13Z,Accident - Minor,Report,"Smith, Marcus",Gregsons Bnd/Centerpoint Rd
180000001313,2018-01-08T11:18:14Z,Criminal Mischief,Report,"Murphy, Logan",231 N Guadalupe St
180000001340,2018-01-08T13:46:31Z,Investigation,Detention Juv,"Nevarez, Phillip",1301 Hwy 123
180000001342,2018-01-08T13:54:23Z,Vehicle Theft,Report,"Easterly, Evan",185 Cazador Dr
180000001362,2018-01-08T15:52:23Z,Assault,Report,"Easterly, Evan",1018 Mead St
180000001368,2018-01-08T16:38:36Z,Assault,Report,"Reeder, John",2300 S IH 35
180000001379,2018-01-08T17:27:52Z,Welfare Concern,Arrest,"Wooten, Christopher",W Hopkins St/Moore St
180000001391,2018-01-08T18:34:21Z,Disturbance - Phys/Fight,Arrest,"Allen, Ashley",1701 River Rd
180000001430,2018-01-08T22:05:54Z,Viol City Ordinance,Warning,"Salinas, Hollie",1420 N LBJ Dr
180000001439,2018-01-08T22:41:09Z,Burglary - Habitation,Report,"Williams, Jack",1506 S IH 35
180000001446,2018-01-08T23:46:49Z,Assault,Report,"Gonzales, Gavin",704 E Hopkins St
180000001456,2018-01-09T00:55:27Z,Disturbance - Noise,Verbal Warning,"Allen, Ashley",256 Trestle Tree
180000001471,2018-01-09T03:13:00Z,Disturbance - Verbal,Report,"Williams, Jack",556 Bridlewood Dr
180000001480,2018-01-09T05:38:28Z,Recovered Stolen Vehicle,Arrest,"Murphy, Logan",521 Patton St
180000001487,2018-01-09T07:44:35Z,Trespassing/Unwanted,Verbal Warning,"Verver, Elias",1400blk Clarewood Dr
180000001499,2018-01-09T09:25:32Z,Fraud,Ref oth Agncy,"Smith, Marcus",2300 S IH 35
180000001500,2018-01-09T09:26:43Z,Animal Call,Ref oth Agncy,,209 Durata Dr
180000001502,2018-01-09T09:30:55Z,Burglary - Habitation,Report,"Beller, Paul",1354 Thorpe Ln
180000001507,2018-01-09T09:52:24Z,Accident - Minor,Blue Form Issue,"Smith, Marcus",Aquarena Springs Dr/Thorpe Ln
180000001512,2018-01-09T10:49:05Z,Accident - Unknown,Report,"Murphy, Logan",E Hopkins St/W Access Rd
180000001528,2018-01-09T12:18:57Z,Accident - Fleet,Report,"Smith, Marcus",1917 Dutton Dr
180000001531,2018-01-09T12:29:59Z,Property - Lost/Found/Imp,Report,,2300 S IH 35
180000001532,2018-01-09T12:30:39Z,Assault,Arrest,"Verver, Elias",1103 Hwy 80
180000001533,2018-01-09T12:31:44Z,Fraud,Report,"Beller, Paul",209 N IH 35
180000001541,2018-01-09T13:39:16Z,Viol City Ordinance,Verbal Warning,"Verver, Elias",1015 Hwy 80
180000001553,2018-01-09T14:31:58Z,Death Investigation,Report,"Smith, Marcus",736 Willow Ridge Dr
180000001556,2018-01-09T14:46:00Z,Burglary - Vehicle,Report,"Elrod, Candace",210 N Edward Gary St
180000001568,2018-01-09T15:44:06Z,Theft,Refer To COPR,"Murphy, Logan",1350 N LBJ Dr
180000001574,2018-01-09T17:05:49Z,Accident - Hit and Run,Blue Form Issue,"Sarver, Stephen",Leah Ave/Wonder World Dr
180000001591,2018-01-09T18:49:48Z,Accident - Hit and Run,Arrest,"Wooten, Christopher",1951 Aquarena Springs Dr
180000001598,2018-01-09T19:35:21Z,Attempt to Locate,Ref oth Agncy,,204 NB
180000001619,2018-01-09T21:35:14Z,Accident - Minor,Report,"Stephens, Paul",400BLK E McCarty Ln
180000001620,2018-01-09T21:38:28Z,Mental Health Invest,Report,"Sarver, Stephen",1301 Wonder World Dr
180000001636,2018-01-09T23:03:39Z,Information,Report,"Wood, John",1211 Mountain Dr
180000001648,2018-01-10T00:17:03Z,Suspicious Vehicle,Verbal Warning,"Gonzales, Gavin",601 S C M Allen Pkwy
180000001654,2018-01-10T01:12:17Z,Disturbance - Noise,Warning,"Williams, Jack",1900 Aquarena Springs Dr
180000001667,2018-01-10T03:54:39Z,Suspicious Vehicle,Arrest,"Williams, Jack",1433 N IH 35
180000001668,2018-01-10T04:18:01Z,Fireworks,Verbal Warning,"Gonzales, Gavin",109 Craddock Ave
180000001684,2018-01-10T09:59:07Z,Accident - Minor,Blue Form Issue,"Sembera, Jeremy",1354 Thorpe Ln
180000001696,2018-01-10T10:59:31Z,Viol City Ordinance,Verbal Warning,"Raven, Scott",Hwy 80/E Access Rd
180000001703,2018-01-10T11:39:58Z,Illegal Dumping,Ref oth Agncy,"Sparenberg, Andrew",Old Martindale Rd/River Rd
180000001712,2018-01-10T13:12:15Z,Attempt to Locate,Ref oth Agncy,,EXIT 202 SB
180000001714,2018-01-10T13:24:08Z,Theft,Report,"Castillo, Daniel",503 Uhland Rd
180000001718,2018-01-10T13:37:07Z,Burglary - Habitation,Report,"Castillo, Daniel",1980 Aquarena Springs Dr
180000001719,2018-01-10T13:38:36Z,Theft,Citation Issued,"Ames, Garner",1015 Hwy 80
180000001721,2018-01-10T13:58:17Z,Theft,Warning,"Daenzer, Matthew",3939 S IH 35
180000001723,2018-01-10T14:06:33Z,Disturbance - Verbal,Warning,"Sembera, Jeremy",1433 N IH 35
180000001725,2018-01-10T14:14:22Z,Wanted Person,Report,"Raven, Scott",801 N IH 35
180000001726,2018-01-10T14:19:45Z,Mental Health Invest,Report,"Sheridan, Grant",1205 Dartmouth Ave
180000001727,2018-01-10T14:22:16Z,Theft,Ref oth Agncy,"Daenzer, Matthew",2300 S IH 35
180000001728,2018-01-10T14:23:41Z,Investigation,Warning,"Spriegel, Sandra",1150 E River Ridge Pkwy
180000001729,2018-01-10T14:32:43Z,Suspicious Circumstances,Ref oth Agncy,,1703 N IH 35
180000001740,2018-01-10T15:23:36Z,Assault,Arrest,"Sparenberg, Andrew",E Access Rd/Black Pipe
180000001742,2018-01-10T15:31:59Z,Runaway,Report,"Pierce, Basil",151 Horse Shoe Bend Rd
180000001748,2018-01-10T15:53:59Z,Attempt to Locate,Ref oth Agncy,,202 SB
180000001750,2018-01-10T16:00:12Z,Accident - Minor,Blue Form Issue,"Tureaud, Benjamin",1701 Mill St
180000001753,2018-01-10T17:15:47Z,Burglary - Habitation,Refer To COPR,"Fischer, Vincent",1800 Post Rd
180000001756,2018-01-10T17:29:19Z,Suspicious Vehicle,Warning,"Davidson, Travis",706 Bracewood Cir
180000001763,2018-01-10T18:11:19Z,Theft,Arrest,"Tureaud, Benjamin",1015 Hwy 80
180000001766,2018-01-10T18:21:23Z,Attempt to Locate,Ref oth Agncy,,189 Sb
180000001802,2018-01-10T21:32:17Z,Attempt to Locate,Ref oth Agncy,,EXIT 199 SB
180000001806,2018-01-10T21:42:06Z,Disturbance - Noise,Multiple Arrest,"McGee, Miranda",1606 N IH 35
180000001808,2018-01-10T21:44:32Z,Sexual Assault,Arrest,"Alvarado, Manuel",1800 Blk Aquarena Springs Dr
180000001815,2018-01-10T22:23:12Z,Assault,Arrest,"Tureaud, Benjamin",1301 Wonder World Dr
180000001817,2018-01-10T22:36:43Z,Investigation,Arrest,"Tennant, Casey",903 N IH 35
180000001823,2018-01-10T23:39:31Z,Assault,Report,"Alvarado, Manuel",105 Eastwood St
180000001838,2018-01-11T03:00:39Z,Theft,Report,"Alvarado, Manuel",1348 Thorpe Ln
180000001841,2018-01-11T03:33:41Z,Suicidal Person,Report,"Alvarado, Manuel",1805 N IH 35
180000001852,2018-01-11T08:23:58Z,Theft,Refer To COPR,"Harrison, Todd",705 N Bishop St
180000001863,2018-01-11T09:38:12Z,Barking Dog,Ref oth Agncy,"Harrison, Todd",1509 Allen St
180000001867,2018-01-11T09:47:44Z,Harassment,Ref oth Agncy,,
180000001873,2018-01-11T10:07:02Z,Accident - Minor,Report,"Daenzer, Matthew",500blk Staples Rd
180000001885,2018-01-11T11:22:29Z,Public Assist,Report,"Daenzer, Matthew",2300 S IH 35
180000001896,2018-01-11T12:24:45Z,Theft,Refer To COPR,"Harrison, Todd",305 Craddock Ave
180000001899,2018-01-11T12:40:20Z,Attempt to Locate,Ref oth Agncy,,199 SB
180000001910,2018-01-11T13:36:44Z,Theft,Refer To COPR,"Harrison, Todd",873 Sagewood Trl
180000001912,2018-01-11T13:52:05Z,Animal Call,Ref oth Agncy,,E Access Rd/Blanco River
180000001916,2018-01-11T14:27:35Z,Assault,Report,"Reeder, John",2300 S IH 35
180000001919,2018-01-11T14:37:13Z,Theft,Refer To COPR,"Reeder, John",2300 S IH 35
180000001920,2018-01-11T14:39:27Z,Viol City Ordinance,Citation Issued,"Sembera, Jeremy",Aquarena Springs Dr/E Access Rd
180000001922,2018-01-11T14:43:21Z,Theft,Arrest,"Daenzer, Matthew",1015 Hwy 80
180000001925,2018-01-11T14:59:29Z,Public Assist,Blue Form Issue,"Reeder, John",2300 S IH 35
180000001936,2018-01-11T16:17:42Z,Accident - Minor,Blue Form Issue,"Osborne, Joseph",2601 Rattler Rd
180000001940,2018-01-11T16:46:44Z,Theft,Citation Issued,"Fischer, Vincent",1015 Hwy 80
180000001941,2018-01-11T16:51:12Z,Theft,Report,"Follis, Brad",301 Foxtail Run
180000001943,2018-01-11T17:13:36Z,Assault,Report,"Marroquin, Christopher",311 Mariposa St
180000001944,2018-01-11T17:19:51Z,Theft,Multiple Arrest,"Tennant, Casey",1015 Hwy 80
180000001945,2018-01-11T17:21:14Z,Assault,Report,"Allen, Ashley",1103 San Marcos Pkwy
180000001946,2018-01-11T17:25:43Z,Burglary - Habitation,Report,"Reeder, John",2300 S IH 35
180000001951,2018-01-11T17:44:18Z,Accident - Hit and Run,Blue Form Issue,,1655 Mill St
180000001954,2018-01-11T18:09:54Z,Burglary - Habitation,Refer To COPR,"Tennant, Casey",1629 Post Rd
180000001956,2018-01-11T18:31:09Z,Theft,Arrest,"Osborne, Joseph",3939 S IH 35
180000001967,2018-01-11T20:05:25Z,Accident - Hit and Run,Blue Form Issue,"McGee, Miranda",600blk Lime Kiln Rd
180000001979,2018-01-11T21:57:11Z,Attempt to Locate,Ref oth Agncy,"Marroquin, Christopher",Hunter Rd/Harmons Way
180000002007,2018-01-12T01:28:42Z,Disturbance - Phys/Fight,Arrest,"Alvarado, Manuel",120 E San Antonio St
180000002009,2018-01-12T01:59:11Z,Investigation,Arrest,"Allen, Ashley",100 N Guadalupe St
180000002010,2018-01-12T02:31:51Z,Accident - Major/Injury,Report,"Marroquin, Christopher",300blk S Guadalupe St
180000002014,2018-01-12T02:47:19Z,Disturbance - Noise,Verbal Warning,"McGee, Miranda",1980 Aquarena Springs Dr
180000002016,2018-01-12T02:57:42Z,Suspicious Circumstances,Report,"Alvarado, Manuel",123 N Edward Gary St
180000002026,2018-01-12T08:07:32Z,Accident - Minor,Blue Form Issue,"Easterly, Evan",600 Blk Mill 
180000002030,2018-01-12T08:53:07Z,Threat,Report,"Wisener, Fred",2300 S IH 35
180000002043,2018-01-12T11:58:54Z,Theft,Arrest,"Murphy, Logan",641 E Hopkins St
180000002051,2018-01-12T13:23:57Z,Accident - Minor,Blue Form Issue,"Easterly, Evan",2227 S IH 35
180000002052,2018-01-12T13:42:06Z,Sexual Assault,Report,"Reeder, John",2300 S IH 35
180000002057,2018-01-12T14:07:15Z,Accident - Minor,Blue Form Issue,"Murphy, Logan",1321 N IH 35
180000002068,2018-01-12T14:52:38Z,Recovered Stolen Vehicle,Report,"Murphy, Logan",1100 Patton St
180000002071,2018-01-12T15:08:42Z,Accident - Minor,Blue Form Issue,"Beller, Paul",1000 Hwy 80
180000002077,2018-01-12T16:05:15Z,Burglary - Habitation,Report,"Salinas, Hollie",1354 Thorpe Ln
180000002080,2018-01-12T16:36:10Z,Wanted Person,Arrest,"Allen, Ashley",1304 Adrian St
180000002085,2018-01-12T16:59:02Z,Accident - Minor,Report,"Murphy, Logan",University Dr/N C M Allen Pkwy
180000002104,2018-01-12T19:06:05Z,Theft,Citation Issued,"Allen, Ashley",1015 Hwy 80
180000002108,2018-01-12T19:22:31Z,Accident - Minor,Report,"Allen, Ashley",1002 Hwy 80
180000002114,2018-01-12T19:38:37Z,Missing Person,Report,"Stephens, Paul",800 Barnes Dr
180000002125,2018-01-12T20:51:47Z,Assault,Warning,"Putnam, Justin",350 North St
180000002145,2018-01-12T22:39:49Z,Criminal Mischief,Refer To COPR,"Sarver, Stephen",Rio Vista St/Field St
180000002159,2018-01-12T23:21:59Z,Property - Lost/Found/Imp,Refer To COPR,"Stephens, Paul",2300 S IH 35
180000002164,2018-01-12T23:57:58Z,Attempt to Locate,Arrest,"Williams, Jack",206 NB
180000002165,2018-01-13T00:00:41Z,Accident - Minor,Report,"Gonzales, Gavin",100blk S Guadalupe St
180000002183,2018-01-13T01:36:59Z,Assault,Report,"Williams, Jack",2810 S IH 35
180000002185,2018-01-13T01:44:32Z,Public Intoxication,Ref oth Agncy,,Country Estates Dr/Old Ranch Road 12
180000002196,2018-01-13T02:17:48Z,Disturbance - Phys/Fight,Verbal Warning,"Williams, Jack",231 N Guadalupe St
180000002197,2018-01-13T02:19:56Z,Attempt to Locate,Ref oth Agncy,,EXIT 200 SB
180000002222,2018-01-13T06:15:53Z,Sexual Assault,Report,"Ames, Garner",1000 Blk Avalon Ave
180000002228,2018-01-13T08:38:22Z,Accident - Minor,Report,"Gibson, Kathryn",Oscar Smith St/Blanco St
180000002231,2018-01-13T09:00:55Z,Accident - Unknown,Report,"Scott, Charles",202 SB
180000002250,2018-01-13T10:41:33Z,Suspicious Vehicle,Verbal Warning,"Elrod, Candace",2300 S IH 35
180000002259,2018-01-13T11:04:25Z,Solicitors,Verbal Warning,"Elrod, Candace",Centerpoint Rd/W Access Rd
180000002266,2018-01-13T12:27:23Z,Solicitors,Warning,"Scott, Charles",W Access Rd/Hwy 123
