Incident_Nr,TimeReported,Activity,Disposition,Location
1.8E+11,10/26/18 13:47,Accident - Hit and Run,Blue Form Issue,641 E Hopkins St
1.8E+11,10/26/18 14:10,Burglary - Habitation,Report,2024 Ramona Cir
1.8E+11,10/26/18 15:02,Theft,Citation Issued,1015 Hwy 80
1.8E+11,10/26/18 15:41,Viol City Ordinance,Arrest,210 Springtown Way
1.8E+11,10/26/18 16:15,Accident - Minor,Citation Issued,Hwy 123/E De Zavala Dr
1.8E+11,10/26/18 16:52,Accident - Minor,Blue Form Issue,E Sessom Dr/Peques St
1.8E+11,10/26/18 18:01,Disturbance - Phys/Fight,Report,518 Linda Dr
1.8E+11,10/26/18 18:15,Disturbance - Verbal,Arrest,1811 Medical Pkwy
1.8E+11,10/26/18 18:25,Accident - Minor,Blue Form Issue,704 E Hopkins St
1.8E+11,10/26/18 18:59,Burglary - Habitation,Report,503 Uhland Rd
1.8E+11,10/26/18 19:16,Theft,Refer To COPR,1415 Craddock Ave
1.8E+11,10/26/18 19:20,Accident - Unknown,Report,Aquarena Springs Dr/E Access Rd
1.8E+11,10/26/18 19:46,Disturbance - Noise,Verbal Warning,500 Broadway St
1.8E+11,10/26/18 20:17,Disorderly Conduct,Verbal Warning,1023 Hwy 80
1.8E+11,10/26/18 20:35,Disturbance - Noise,Verbal Warning,1933 Lisa Ln
1.8E+11,10/26/18 21:51,Burglary - Habitation,Report,1980 Aquarena Springs Dr
1.8E+11,10/26/18 22:32,Accident - Minor,Blue Form Issue,E Access Rd/Wonder World Dr
1.8E+11,10/26/18 22:43,Disturbance - Noise,Verbal Warning,650 River Rd
1.8E+11,10/26/18 22:57,Welfare Concern,Report,1180 Thorpe Ln
1.8E+11,10/26/18 22:59,Accident - Hit and Run,Blue Form Issue,Thorpe Ln/Aquarena Springs Dr
1.8E+11,10/26/18 23:14,Disturbance - Noise,Verbal Warning,1350 N LBJ Dr
1.8E+11,10/26/18 23:17,Vehicle Theft,Report,520 Linda Dr
1.8E+11,10/27/18 0:19,Disturbance - Noise,Verbal Warning,512 Craddock Ave
1.8E+11,10/27/18 0:27,Disturbance - Noise,Verbal Warning,1850 Aquarena Springs Dr
1.8E+11,10/27/18 0:36,Investigation,Verbal Warning,100 W Hopkins St
1.8E+11,10/27/18 0:39,Disturbance - Noise,Arrest,1701 Mill St
1.8E+11,10/27/18 1:08,Investigation,Citation Issued,120 E San Antonio St
1.8E+11,10/27/18 1:11,Disturbance - Noise,Verbal Warning,1655 Mill St
1.8E+11,10/27/18 1:23,Assault,Report,119 Cheatham St
1.8E+11,10/27/18 1:35,Disturbance - Noise,Verbal Warning,1655 Mill St
1.8E+11,10/27/18 1:41,Disturbance - Phys/Fight,Arrest,138 N LBJ Dr
1.8E+11,10/27/18 2:03,Disturbance - Phys/Fight,Report,100 N Guadalupe St
1.8E+11,10/27/18 2:23,Public Intoxication,Arrest,Edward Gary St/E San Antonio St
1.8E+11,10/27/18 2:27,Disturbance - Noise,Citation Issued,650 River Rd
1.8E+11,10/27/18 2:41,Trespassing/Unwanted,Warning,339 N Guadalupe St
1.8E+11,10/27/18 2:47,Viol City Ordinance,Citation Issued,200blk N Fredericksburg St
1.8E+11,10/27/18 4:17,Assault,Report,1009 Hackberry St
1.8E+11,10/27/18 4:20,Accident - Major/Injury,Arrest,225 Scott St
1.8E+11,10/27/18 5:23,Assault,Report,1354 Thorpe Ln
1.8E+11,10/27/18 7:11,Accident - Minor,Blue Form Issue,Hunter Rd/E McCarty Ln
1.8E+11,10/27/18 7:53,Attempt to Locate,Citation Issued,500blk Wonder World Dr
1.8E+11,10/27/18 8:55,Accident - Minor,Ref oth Agncy,
1.8E+11,10/27/18 11:57,Accident - Unknown,Patient Trans,Hunter Rd/Wonder World Dr
1.8E+11,10/27/18 11:59,Accident - Minor,Blue Form Issue,338 S Guadalupe St
1.8E+11,10/27/18 12:01,Accident - Unknown,Report,Hunter Rd/Wonder World Dr
1.8E+11,10/27/18 12:52,Accident - Major/Injury,Report,206 SB
1.8E+11,10/27/18 12:53,Accident - Hit and Run,Blue Form Issue,600BLK E Hopkins St
1.8E+11,10/27/18 13:59,Accident - Minor,Blue Form Issue,1350 Leah Ave
1.8E+11,10/27/18 14:22,Theft,Refer To COPR,AXL00023 SE SECTOR - AT&T MOBILITYMOBILI
1.8E+11,10/27/18 14:43,Accident - Minor,Report,2041 S IH 35
1.8E+11,10/27/18 14:45,Evading Arr/Det - Foot,Arrest,1015 Hwy 80
1.8E+11,10/27/18 15:37,Mental Health Invest,Report,1402 N IH 35
1.8E+11,10/27/18 16:54,Public Assist,Ref oth Agncy,1200 Morningwood Dr
1.8E+11,10/27/18 17:02,Theft,Arrest,1015 Hwy 80
1.8E+11,10/27/18 18:02,Disturbance - Noise,Citation Issued,1511 Old Ranch Road 12
1.8E+11,10/27/18 19:28,Accident - Minor,Arrest,W Holland St/Owens St
1.8E+11,10/27/18 20:40,Accident - Unknown,Report,207 NB
1.8E+11,10/27/18 20:43,Trespassing/Unwanted,Warning,200 W Hopkins St
1.8E+11,10/27/18 20:49,Assault,Report,2250 Clovis Barker Rd
1.8E+11,10/27/18 21:23,Accident - Hit and Run,Blue Form Issue,700 N LBJ Dr
1.8E+11,10/27/18 21:41,Disturbance - Phys/Fight,Arrest,1126 Sycamore St
1.8E+11,10/27/18 21:48,Disturbance - Noise,Verbal Warning,225 Ramsay St
1.8E+11,10/27/18 22:33,Burglary - Habitation,Report,1150 E River Ridge Pkwy
1.8E+11,10/27/18 23:03,Disturbance - Noise,Verbal Warning,1322 W San Antonio St
1.8E+11,10/27/18 23:34,Disturbance - Noise,Multiple Arrest,1511 Old Ranch Road 12
1.8E+11,10/27/18 23:48,Disturbance - Noise,Verbal Warning,201 Telluride St
1.8E+11,10/27/18 23:50,Threat,Report,2300 S IH 35
1.8E+11,10/28/18 0:05,Investigation,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 0:05,Disturbance - Verbal,Citation Issued,100 W Hopkins St
1.8E+11,10/28/18 0:09,Disturbance - Noise,Citation Issued,301 Telluride St
1.8E+11,10/28/18 0:19,Investigation,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 0:27,Alcohol Violation,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 1:20,Accident - Minor,Blue Form Issue,1509 N IH 35
1.8E+11,10/28/18 1:34,Disturbance - Noise,Verbal Warning,301 Telluride St
1.8E+11,10/28/18 2:18,Burglary - Vehicle,Refer To COPR,205 W San Antonio St
1.8E+11,10/28/18 2:36,Disturbance - Noise,Verbal Warning,1434 Meadow Pkwy
1.8E+11,10/28/18 2:47,Accident - Minor,Arrest,S C M Allen Pkwy/W Access Rd
1.8E+11,10/28/18 2:52,Robbery,Report,828 Burleson St
1.8E+11,10/28/18 2:53,Alcohol Violation,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 2:53,Assault,Report,518 Linda Dr
1.8E+11,10/28/18 2:56,Accident - Hit and Run,Blue Form Issue,1320 N IH 35
1.8E+11,10/28/18 3:03,Investigation,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 3:11,Suspicious Person,Citation Issued,1415 Craddock Ave
1.8E+11,10/28/18 4:36,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,10/28/18 5:02,Accident - Minor,Blue Form Issue,205 SB
1.8E+11,10/28/18 8:18,Criminal Mischief,Report,1800 Post Rd
1.8E+11,10/28/18 9:21,Wanted Person,Arrest,706 Barbara Dr
1.8E+11,10/28/18 9:22,Burglary - Vehicle,Report,1610 N IH 35
1.8E+11,10/28/18 10:46,Assault,Report,1011 Wonder World Dr
1.8E+11,10/28/18 11:30,Accident - Minor,Report,1104 Thorpe Ln
1.8E+11,10/28/18 12:52,Assist Fire Department,Citation Issued,E Access Rd/Blanco River
1.8E+11,10/28/18 13:20,Accident - Minor,Report,N Comanche St/Pat Garrison St
1.8E+11,10/28/18 14:04,Burglary - Vehicle,Report,100 N IH 35
1.8E+11,10/28/18 14:44,Criminal Mischief,Refer To COPR,1111 Avalon Ave
1.8E+11,10/28/18 16:05,Criminal Mischief,Report,100 N IH 35
1.8E+11,10/28/18 17:15,Accident - Unknown,Report,EXIT 201 NB
1.8E+11,10/28/18 17:35,Trespassing/Unwanted,Warning,417 N Comanche St
1.8E+11,10/28/18 17:44,Disturbance - Noise,Verbal Warning,933 Bandera St
1.8E+11,10/28/18 18:10,Investigation,Verbal Warning,116 North Fork Rd
1.8E+11,10/28/18 18:19,Mental Health Invest,Report,812 Rodriguez St
1.8E+11,10/28/18 19:00,Accident - Unknown,Arrest,Cheatham St/S C M Allen Pkwy
1.8E+11,10/28/18 19:37,Disturbance - Noise,Verbal Warning,1951 Hunter Rd
1.8E+11,10/28/18 21:21,Public Assist,Report,1506 S IH 35
1.8E+11,10/28/18 21:54,Disturbance - Noise,Verbal Warning,194 S Guadalupe St
1.8E+11,10/28/18 22:11,Accident - Minor,Blue Form Issue,138 N LBJ Dr
1.8E+11,10/29/18 0:10,Disturbance - Noise,Verbal Warning,1111 Avalon Ave
1.8E+11,10/29/18 2:56,Welfare Concern,Arrest,E Hopkins St/W Access Rd
1.8E+11,10/29/18 2:56,Disturbance - Noise,Verbal Warning,1011 Wonder World Dr
1.8E+11,10/29/18 4:45,Mental Health Invest,Report,1650 River Rd
1.8E+11,10/29/18 4:47,Sexual Assault,Report,1301 Wonder World Dr
1.8E+11,10/29/18 7:13,Directed/Area Enforcement,Citation Issued,1300blk Hwy 123
1.8E+11,10/29/18 9:22,Mental Health Transport,Report,1301 Wonder World Dr
1.8E+11,10/29/18 10:51,Suspicious Vehicle,Verbal Warning,198 NB
1.8E+11,10/29/18 11:17,Harassment,Report,2300 S IH 35
1.8E+11,10/29/18 11:37,Property - Lost/Found/Imp,Refer To COPR,1350 Wonder World Dr
1.8E+11,10/29/18 12:35,Trespassing/Unwanted,Detention Juv,2601 Rattler Rd
1.8E+11,10/29/18 13:53,Theft,Refer To COPR,2300 S IH 35
1.8E+11,10/29/18 13:59,Disturbance - Noise,Verbal Warning,N Bishop St/Earle St
1.8E+11,10/29/18 14:27,Viol City Ordinance,Citation Issued,W Access Rd/S Guadalupe St
1.8E+11,10/29/18 14:45,Theft,Multiple Arrest,1015 Hwy 80
1.8E+11,10/29/18 15:24,Burglary - Building,Report,1108 N IH 35
1.8E+11,10/29/18 15:59,Public Assist,Report,2300 S IH 35
1.8E+11,10/29/18 16:08,Theft,Report,1050 McKinley Place Dr
1.8E+11,10/29/18 16:13,Mental Health Invest,Report,1200 N Bishop
1.8E+11,10/29/18 18:58,Attempt to Locate,Ref oth Agncy,
1.8E+11,10/29/18 20:34,Accident - Hit and Run,Blue Form Issue,1350 N IH 35
1.8E+11,10/29/18 21:07,Animal Call,Ref oth Agncy,4015 S IH 35
1.8E+11,10/29/18 21:41,Burglary - Vehicle,Report,901 Hwy 80
1.8E+11,10/29/18 23:46,Harassment,Report,1112 Dartmouth Ave
1.8E+11,10/29/18 23:52,Disturbance - Verbal,Arrest,338 S Guadalupe St
1.8E+11,10/30/18 0:43,Disturbance - Noise,Verbal Warning,1701 Mill St
1.8E+11,10/30/18 2:11,Mental Health Invest,Report,1610 N IH 35
1.8E+11,10/30/18 3:27,Suspicious Vehicle,Verbal Warning,625 E Hopkins St
1.8E+11,10/30/18 8:04,Accident - Minor,Blue Form Issue,Charles Austin Dr/Aquarena Springs Dr
1.8E+11,10/30/18 8:26,Investigation,Citation Issued,2601 Rattler Rd
1.8E+11,10/30/18 8:50,Attempt to Locate,Arrest,289 Silver Peak Dr
1.8E+11,10/30/18 9:52,Narcotics/Information,Detention Juv,2601 Rattler Rd
1.8E+11,10/30/18 11:48,Assault,Arrest,417 N Comanche St
1.8E+11,10/30/18 13:29,Attempt to Locate,Ref oth Agncy,198 NB
1.8E+11,10/30/18 13:46,Criminal Mischief,Refer To COPR,2300 S IH 35
1.8E+11,10/30/18 14:42,Disturbance - Verbal,Report,338 S Guadalupe St
1.8E+11,10/30/18 16:08,Theft,Refer To COPR,Blanco Vista Blvd/Yarrington Rd
1.8E+11,10/30/18 17:54,Missing Person,Ref oth Agncy,345 Champions Blvd
1.8E+11,10/30/18 18:18,Accident - Hit and Run,Blue Form Issue,N LBJ Dr/Sessom Dr
1.8E+11,10/30/18 18:37,Burglary - Vehicle,Report,2300 S IH 35
1.8E+11,10/30/18 20:52,Accident - Hit and Run,Blue Form Issue,2300 S IH 35
1.8E+11,10/30/18 21:22,Accident - Major/Injury,Ref oth Agncy,8063 N Ih 35
1.8E+11,10/30/18 22:43,Welfare Concern,Detention Juv,106 N IH 35
1.8E+11,10/31/18 0:06,Accident - Hit and Run,Arrest,609 Allen St
1.8E+11,10/31/18 0:22,Disturbance - Noise,Verbal Warning,1610 N IH 35
1.8E+11,10/31/18 0:47,Disturbance - Noise,Verbal Warning,138 N LBJ Dr
1.8E+11,10/31/18 0:55,Disturbance - Noise,Citation Issued,150 S LBJ Dr
1.8E+11,10/31/18 1:21,Disturbance - Noise,Verbal Warning,1415 Craddock Ave
1.8E+11,10/31/18 2:21,Accident - Minor,Blue Form Issue,110 N LBJ Dr
1.8E+11,10/31/18 2:25,Disturbance - Phys/Fight,Arrest,417 N Comanche St
1.8E+11,10/31/18 2:45,Disturbance - Noise,Verbal Warning,1980 Aquarena Springs Dr
1.8E+11,10/31/18 3:40,Accident - Hit and Run,Arrest,1700blk Old Ranch Road 12
1.8E+11,10/31/18 6:52,Accident - Unknown,Report,420 Saltillo St
1.8E+11,10/31/18 6:55,Vehicle Theft,Report,1608 S IH 35
1.8E+11,10/31/18 8:59,Loose Livestock,Ref oth Agncy,Beback Inn Rd/Centerpoint Rd
1.8E+11,10/31/18 9:06,Trespassing/Unwanted,Verbal Warning,730 E Hopkins St
1.8E+11,10/31/18 9:28,Attempt to Locate,Verbal Warning,206 SB
1.8E+11,10/31/18 11:38,Mental Health Invest,Report,1200 N Bishop St
1.8E+11,10/31/18 12:48,Suspicious Circumstances,Arrest,1251 N IH 35
1.8E+11,10/31/18 14:45,Suspicious Person,Arrest,1015 Hwy 80
1.8E+11,10/31/18 16:15,Accident - Minor,Blue Form Issue,1005 Hwy 80
1.8E+11,10/31/18 16:44,Accident - Minor,Report,2111 Hunter Rd
1.8E+11,10/31/18 18:41,Accident - Minor,Blue Form Issue,Uhland Rd/United Dr
1.8E+11,10/31/18 19:27,Theft,Citation Issued,1015 Hwy 80
1.8E+11,10/31/18 19:47,Theft,Citation Issued,1015 Hwy 80
1.8E+11,10/31/18 20:06,Disturbance - Noise,Verbal Warning,1111 Avalon Ave
1.8E+11,10/31/18 21:22,Violation Of Order,Arrest,1116 Advance St
1.8E+11,10/31/18 21:36,Barking Dog,Verbal Warning,301 Brazoria Trl
1.8E+11,10/31/18 21:47,Accident - Minor,Blue Form Issue,205 E Holland St
1.8E+11,10/31/18 22:09,Disturbance - Noise,Verbal Warning,1610 N IH 35
1.8E+11,10/31/18 23:17,Disturbance - Noise,Cond Citation,1610 N IH 35
1.8E+11,10/31/18 23:18,Disturbance - Noise,Verbal Warning,1111 Avalon Ave
1.8E+11,10/31/18 23:28,Disturbance - Noise,Verbal Warning,1850 Aquarena Springs Dr
1.8E+11,10/31/18 23:30,Disturbance - Noise,Citation Issued,301 Telluride St
1.8E+11,10/31/18 23:39,Threat,Ref oth Agncy,1805 Aquarena Springs Dr
1.8E+11,11/1/18 1:03,Burglary - Vehicle,Refer To COPR,1720 N IH 35
1.8E+11,11/1/18 2:06,Suspicious Person,Citation Issued,200 W Hopkins St
1.8E+11,11/1/18 2:12,Accident - Minor,Blue Form Issue,E Sessom Dr/Peques St
1.8E+11,11/1/18 2:23,Disturbance - Verbal,Report,210 N Edward Gary St
1.8E+11,11/1/18 2:34,Suspicious Person,Arrest,100blk W San Antonio St
1.8E+11,11/1/18 4:57,Attempt to Locate,Citation Issued,210 SB
1.8E+11,11/1/18 10:39,Assist EMS,Report,600 Clyde Ct
1.8E+11,11/1/18 11:04,Accident - Minor,Report,1202 S IH 35
1.8E+11,11/1/18 12:27,Investigation,Multiple Arrest,1619 N IH 35
1.8E+11,11/1/18 12:35,Accident - Minor,Report,Hwy 123/Old Bastrop Hwy
1.8E+11,11/1/18 13:00,Supplement,Report,1415 Craddock Ave
1.8E+11,11/1/18 13:04,Sexual Assault - Agg,Report,600 Blk Mill 
1.8E+11,11/1/18 13:44,Accident - Minor,Report,Hwy 80/E Access Rd
1.8E+11,11/1/18 16:31,Trespassing/Unwanted,Warning,200 W Hopkins St
1.8E+11,11/1/18 16:32,Accident - Hit and Run,Blue Form Issue,W Access Rd/S Guadalupe St
1.8E+11,11/1/18 16:34,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/1/18 16:36,Investigation,Warning,119 E Hutchison St
1.8E+11,11/1/18 17:38,Disturbance - Noise,Verbal Warning,800BLK Hazelton St
1.8E+11,11/1/18 18:27,Accident - Unknown,Report,204 NB
1.8E+11,11/1/18 22:03,Suicidal Person,Report,1701 Mill St
1.8E+11,11/1/18 23:16,Assault,Arrest,419 Capistrano Dr
1.8E+11,11/1/18 23:34,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/2/18 0:40,Disturbance - Noise,Verbal Warning,1350 N LBJ Dr
1.8E+11,11/2/18 1:55,Public Intoxication,Report,1701 N IH 35
1.8E+11,11/2/18 2:04,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/2/18 4:09,Suicidal Person,Report,1629 Post Rd
1.8E+11,11/2/18 8:59,Accident - Minor,Report,Aquarena Springs Dr/Charles Austin St
1.8E+11,11/2/18 10:54,Accident - Unknown,Report,Wonder World Dr/Hwy 123
1.8E+11,11/2/18 11:05,Fraud,Report,1631 Aquarena Springs Dr
1.8E+11,11/2/18 12:32,Accident - Minor,Blue Form Issue,1300blk Wonder World Dr
1.8E+11,11/2/18 12:50,Disturbance - Verbal,Warning,1105 N IH 35
1.8E+11,11/2/18 16:06,Accident - Minor,Blue Form Issue,101 Lockwood Dr
1.8E+11,11/2/18 16:20,Animal Call,Ref oth Agncy,1226 N LBJ Dr
1.8E+11,11/2/18 17:01,Death Investigation,Report,1480 River Rd
1.8E+11,11/2/18 17:08,Accident - Minor,Blue Form Issue,204 NB
1.8E+11,11/2/18 17:15,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/2/18 17:23,Disturbance - Noise,Verbal Warning,1800 Post Rd
1.8E+11,11/2/18 17:51,Disturbance - Verbal,Blue Form Issue,1001 Hwy 123
1.8E+11,11/2/18 18:08,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/2/18 20:26,Theft,Citation Issued,1015 Hwy 80
1.8E+11,11/2/18 23:10,Attempt to Locate,Ref oth Agncy,208 NB
1.8E+11,11/2/18 23:14,Attempt to Locate,Citation Issued,200 NB
1.8E+11,11/2/18 23:23,Suspicious Circumstances,Arrest,1015 Hwy 80
1.8E+11,11/3/18 1:06,Accident - Hit and Run,Blue Form Issue,E Hopkins St/Thorpe Ln
1.8E+11,11/3/18 2:36,Suspicious Vehicle,Citation Issued,300blk S C M Allen Pkwy
1.8E+11,11/3/18 2:39,Disturbance - Phys/Fight,Citation Issued,200 S Guadalupe St
1.8E+11,11/3/18 3:26,Disturbance - Noise,Verbal Warning,421 W San Antonio St
1.8E+11,11/3/18 4:44,Deliver Message,Ref oth Agncy,443 Lindsey St
1.8E+11,11/3/18 11:24,Disturbance - Noise,Citation Issued,1624 Aquarena Springs Dr
1.8E+11,11/3/18 11:34,Accident - Minor,Report,550 Barnes Dr
1.8E+11,11/3/18 11:56,Electrical Hazard,Fire Call,1300blk Hwy 123
1.8E+11,11/3/18 12:24,Accident - Minor,Blue Form Issue,2050 S IH 35
1.8E+11,11/3/18 12:32,Disturbance - Verbal,Arrest,1624 Aquarena Springs Dr
1.8E+11,11/3/18 13:10,Accident - Minor,Report,937 Hwy 80
1.8E+11,11/3/18 13:32,Disturbance - Phys/Fight,Warning,641 E Hopkins St
1.8E+11,11/3/18 13:55,Gas Leak/Gas Odor,Fire Call,808 Barbara Dr
1.8E+11,11/3/18 14:08,Accident - Major/Injury,Blue Form Issue,200 SB
1.8E+11,11/3/18 14:12,Disturbance - Phys/Fight,Arrest,417 S Mitchell Ave
1.8E+11,11/3/18 14:42,Accident - Unknown,Report,Wonder World Dr/Hunter Rd
1.8E+11,11/3/18 15:25,Theft,Report,1506 S IH 35
1.8E+11,11/3/18 15:33,Accident - Unknown,Report,199 SB
1.8E+11,11/3/18 16:18,Endanger/Abandon,Ref oth Agncy,1506 S IH 35
1.8E+11,11/3/18 16:35,Assault - Aggravated,Report,1750 River Rd
1.8E+11,11/3/18 17:01,Sexual Assault,Ref oth Agncy,2300 S IH 35
1.8E+11,11/3/18 17:16,Theft,Arrest,1015 Hwy 80
1.8E+11,11/3/18 17:40,Criminal Mischief,Refer To COPR,415 N LBJ Dr
1.8E+11,11/3/18 18:41,Attempt to Locate,Multiple Arrest,204 NB
1.8E+11,11/3/18 20:19,Property - Lost/Found/Imp,Report,515 McGehee St
1.8E+11,11/3/18 21:32,Accident - Minor,Report,209 N IH 35
1.8E+11,11/3/18 21:36,Public Assist,Ref oth Agncy,161 Country Lane
1.8E+11,11/3/18 21:38,Disturbance - Noise,Verbal Warning,119 Cheatham St
1.8E+11,11/3/18 22:46,Disturbance - Noise,Citation Issued,817 Chestnut St
1.8E+11,11/3/18 22:46,Mental Health Invest,Report,1301 Wonder World Dr
1.8E+11,11/3/18 23:03,Disturbance - Noise,Verbal Warning,2913 Hunter Rd
1.8E+11,11/3/18 23:10,Accident - Unknown,Arrest,138 N LBJ Dr
1.8E+11,11/3/18 23:32,Disturbance - Noise,Verbal Warning,1651 Post Rd
1.8E+11,11/4/18 0:30,Disturbance - Noise,Verbal Warning,512 Craddock Ave
1.8E+11,11/4/18 0:38,Disturbance - Noise,Verbal Warning,401 N Fredericksburg St
1.8E+11,11/4/18 1:13,Disturbance - Noise,Verbal Warning,100 Cedargrove
1.8E+11,11/4/18 1:55,Disturbance - Noise,Verbal Warning,1150 E River Ridge Pkwy
