# of Units,Date,Description,Address,Location Type
1,1/3/18 18:59,"Medical assist, assist EMS crew",1001  Crepe Myrtle DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/3/18 19:50,"EMS call, excluding vehicle accident with injury",1702 S IH 35  ,Bar or nightclub
1,1/4/18 3:30,"Medical assist, assist EMS crew",734  Valley ST ,1 or 2 family dwelling
1,1/4/18 3:45,"Smoke scare, odor of smoke",231  Teron DR ,1 or 2 family dwelling
1,1/4/18 8:14,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Doctor, dentist or oral surgeon's office"
1,1/4/18 9:15,"Medical assist, assist EMS crew",100  Warden LN ,Multifamily dwellings
1,1/4/18 9:41,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
1,1/4/18 9:56,"EMS call, excluding vehicle accident with injury",1200 N Bishop ST ,"Clinics, Doctors offices, hemodialysis centers"
1,1/4/18 10:04,"Unintentional transmission of alarm, other",180  Springtown WAY ,"Mercantile, business, other"
1,1/4/18 12:29,"Person in distress, other",613  Dartmouth AVE ,Multifamily dwellings
1,1/4/18 13:18,"EMS call, excluding vehicle accident with injury",4015 S IH 35  ,"General retail, other"
1,1/4/18 13:53,Hazmat release investigation w/ no hazmat,111 E San Antonio ST ,Street or road in commercial area
1,1/4/18 14:22,Hazmat release investigation w/ no hazmat,1100  Belvin ST ,"Residential street, road or residential driveway"
1,1/4/18 15:27,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/4/18 18:19,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,Department or discount store
6,1/5/18 0:35,"Smoke scare, odor of smoke",1640  Aquarena Springs DR ,Multifamily dwellings
1,1/5/18 3:05,"EMS call, excluding vehicle accident with injury",220  Parker DR ,1 or 2 family dwelling
1,1/5/18 10:27,"Medical assist, assist EMS crew",1305  Wonder World DR ,Hospital - medical or psychiatric
1,1/5/18 13:56,Vehicle accident with injuries,102 N IH 35  ,Vehicle parking area
1,1/5/18 14:53,"EMS call, excluding vehicle accident with injury",220  Parker DR ,1 or 2 family dwelling
2,1/5/18 14:55,"Medical assist, assist EMS crew",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,1/5/18 15:30,Vehicle accident with injuries,1200  Thorpe LN ,Street or road in commercial area
1,1/5/18 16:19,"EMS call, excluding vehicle accident with injury",1308  Wonder World DR ,"Clinic, clinic-type infirmary"
1,1/5/18 16:54,"Smoke detector activation, no fire - unintentional",220  Teron DR ,1 or 2 family dwelling
2,1/5/18 16:55,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,1/5/18 17:25,"EMS call, excluding vehicle accident with injury",627 E Hopkins ST ,Roller rink: indoor or outdoor
1,1/5/18 18:12,"Alarm system sounded, no fire - unintentional",1019  Hwy 80  ,"Household goods, sales, repairs"
1,1/5/18 19:28,"Medical assist, assist EMS crew",925  Hwy 80  ,Specialty shop
3,1/5/18 20:56,Alarm system sounded due to malfunction,1650  River RD ,Multifamily dwellings
6,1/6/18 7:03,"Smoke scare, odor of smoke",904  Dale DR ,1 or 2 family dwelling
1,1/6/18 7:32,Motor vehicle accident with no injuries,  River RD ,Highway or divided highway
1,1/6/18 12:03,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
2,1/6/18 12:06,Alarm system sounded due to malfunction,1354  Thorpe LN ,Multifamily dwellings
0,1/6/18 13:42,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
4,1/6/18 17:39,"Outside rubbish, trash or waste fire",  Hwy 80  ,Open land or field
1,1/6/18 18:54,"EMS call, excluding vehicle accident with injury",222  Ramsay ST ,Multifamily dwellings
1,1/6/18 19:28,"EMS call, excluding vehicle accident with injury",2013  North View DR ,"Jail, prison (not juvenile)"
1,1/6/18 20:31,"EMS call, excluding vehicle accident with injury",1029  Haynes ST ,1 or 2 family dwelling
1,1/6/18 20:39,No incident found on arrival at dispatch address,300  Patricia DR ,Street or road in commercial area
3,1/6/18 21:41,Vehicle accident with injuries,1807  Hwy 21 DR ,Highway or divided highway
1,1/6/18 21:45,Dispatched & cancelled en route,417 N Comanche ST ,Multifamily dwellings
1,1/6/18 22:06,"Medical assist, assist EMS crew",1334 N IH 35  ,1 or 2 family dwelling
2,1/6/18 22:30,Public service,1109  San Marcos PKWY ,Multifamily dwellings
1,1/6/18 23:23,Public service,206  NB  ,Highway or divided highway
1,1/6/18 23:38,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,1/7/18 0:55,CO detector activation due to malfunction,109  Wedgewood WAY ,1 or 2 family dwelling
1,1/7/18 3:01,"EMS call, excluding vehicle accident with injury",1053  Clovis Barker RD ,"Hotel/motel, commercial"
1,1/7/18 3:14,Public service,1420  Old Ranch Road 12  ,"Service station, gas station"
2,1/7/18 4:50,Public service,205  NB  ,Highway or divided highway
1,1/7/18 10:00,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/7/18 10:45,"EMS call, excluding vehicle accident with injury",1000  Burleson ST ,1 or 2 family dwelling
1,1/7/18 12:47,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
2,1/7/18 13:03,Vehicle accident with injuries,105 W Wonder World DR ,Street or road in commercial area
2,1/7/18 13:21,Motor vehicle accident with no injuries,206  SB  ,Highway or divided highway
1,1/7/18 14:46,"EMS call, excluding vehicle accident with injury",105 N IH 35  ,Vacant lot
1,1/7/18 20:07,"Medical assist, assist EMS crew",1951  Aquarena Springs DR ,Multifamily dwellings
0,1/7/18 20:55,"EMS call, excluding vehicle accident with injury",109  Riviera ST ,1 or 2 family dwelling
1,1/7/18 21:53,Hazmat release investigation w/ no hazmat,1415  Craddock AVE ,Multifamily dwellings
1,1/8/18 6:45,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Restaurant or cafeteria
1,1/8/18 7:34,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
4,1/8/18 7:39,Vehicle accident with injuries,209 W Access RD ,Highway or divided highway
2,1/8/18 8:28,No incident found on arrival at dispatch address,338 S Guadalupe ST ,Railroad right of way
1,1/8/18 9:08,"Medical assist, assist EMS crew",1401 E McCarty LN ,Warehouse
1,1/8/18 10:32,"Medical assist, assist EMS crew",737  Gravel ST ,1 or 2 family dwelling
1,1/8/18 12:33,"EMS call, excluding vehicle accident with injury",109  Riviera ST ,1 or 2 family dwelling
1,1/8/18 12:56,Assist invalid,211  Orchard ST ,1 or 2 family dwelling
1,1/8/18 14:07,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,1/8/18 17:16,"EMS call, excluding vehicle accident with injury",1202  Hwy 123  ,"Service station, gas station"
2,1/8/18 17:30,"Good intent call, other",2113  River RD ,1 or 2 family dwelling
3,1/8/18 21:07,Smoke or odor removal,147  Wainscot Oak WAY ,1 or 2 family dwelling
1,1/8/18 21:21,"EMS call, excluding vehicle accident with injury",1340  Wonder World DR ,Hemodialysis unit
3,1/8/18 22:00,Alarm system sounded due to malfunction,3939 S IH 35  ,"Textile, wearing apparel sales"
2,1/9/18 0:19,No incident found on arrival at dispatch address,199  SB  ,Highway or divided highway
1,1/9/18 0:30,Dispatched & cancelled en route,3939 S IH 35  ,Highway or divided highway
1,1/9/18 3:15,"Medical assist, assist EMS crew",556  Bridlewood DR ,1 or 2 family dwelling
1,1/9/18 10:31,"Medical assist, assist EMS crew",1121  Burleson ST ,1 or 2 family dwelling
3,1/9/18 10:50,Motor vehicle accident with no injuries, E Hopkins ST ,Street or road in commercial area
1,1/9/18 11:43,Gas leak (natural gas or LPG),706 S Guadalupe ST ,Restaurant or cafeteria
3,1/9/18 12:58,"Brush, or brush and grass mixture fire",1709  Offermann Hill RD ,Open land or field
0,1/9/18 13:23,"EMS call, excluding vehicle accident with injury",1022  Stagecoach TRL ,1 or 2 family dwelling
0,1/9/18 14:37,"EMS call, excluding vehicle accident with injury",736  Willow Ridge DR ,1 or 2 family dwelling
3,1/9/18 15:49,Grass fire, E Access RD ,Highway or divided highway
1,1/9/18 18:20,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/9/18 18:33,"EMS call, excluding vehicle accident with injury",809  Franklin DR ,1 or 2 family dwelling
1,1/9/18 21:32,"EMS call, excluding vehicle accident with injury",503  Uhland RD ,1 or 2 family dwelling
1,1/10/18 23:40,"EMS call, excluding vehicle accident with injury",105  Eastwood ST ,1 or 2 family dwelling
1,1/11/18 3:33,"EMS call, excluding vehicle accident with injury",1805 N IH 35  ,Multifamily dwellings
1,1/11/18 5:45,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,1/11/18 9:43,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,Multifamily dwellings
1,1/11/18 10:07,"Electrical  wiring/equipment problem, other",507  Staples RD ,"Utility or Distribution system, other"
1,1/11/18 12:54,"Medical assist, assist EMS crew",  Technology WAY ,Street or road in commercial area
1,1/11/18 13:23,"Good intent call, other",200 N LBJ DR ,"Outside or special property, other"
2,1/11/18 16:19,Motor vehicle accident with no injuries,2601  Rattler RD ,Street or road in commercial area
1,1/11/18 17:03,"EMS call, excluding vehicle accident with injury",209 N IH 35  ,Vehicle parking area
3,1/11/18 17:09,Building fire - Residential,521  Hunter Ridge RD ,1 or 2 family dwelling
1,1/11/18 18:19,"Medical assist, assist EMS crew",333  Veramendi ST ,1 or 2 family dwelling
6,1/11/18 22:41,"Fire, other",1701  Mill ST ,Multifamily dwellings
2,1/11/18 23:38,Motor vehicle accident with no injuries,  Hunter RD ,Street or road in commercial area
1,1/12/18 0:17,"Medical assist, assist EMS crew",1420  Old Ranch Road 12  ,Convenience store
1,1/12/18 3:32,"Medical assist, assist EMS crew",1001 E McCarty LN ,"Hotel/motel, commercial"
2,1/12/18 4:02,Fire in mobile home used as fixed residence,112  Kid Ranch LN ,1 or 2 family dwelling
1,1/12/18 14:47,Power line down,1109  San Marcos PKWY ,Multifamily dwellings
1,1/12/18 17:19,Motor vehicle accident with no injuries,  University DR ,Street or road in commercial area
1,1/12/18 20:45,"EMS call, excluding vehicle accident with injury",1941 S IH 35  ,"Clinics, Doctors offices, hemodialysis centers"
1,1/13/18 1:30,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,1/13/18 1:34,"EMS call, excluding vehicle accident with injury",401 N Fredericksburg ST ,Multifamily dwellings
2,1/13/18 8:39,Power line down,  Oscar Smith ST ,Street or road in commercial area
2,1/13/18 9:01,Motor vehicle accident with no injuries,202  SB  ,Highway or divided highway
1,1/13/18 11:22,"Good intent call, other",  Ebony ST ,"Residential street, road or residential driveway"
1,1/13/18 14:24,Motor vehicle/pedestrian accident (MV Ped),350 N Guadalupe ST ,Vehicle parking area
6,1/13/18 15:42,"Cooking fire, confined to container",301  Telluride ST ,1 or 2 family dwelling
1,1/13/18 15:52,Vehicle accident with injuries,1015  Hwy 80  ,Vehicle parking area
1,1/13/18 18:46,"EMS call, excluding vehicle accident with injury",617 N IH 35  ,Vehicle parking area
1,1/13/18 20:43,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
2,1/13/18 21:01,Removal of victim(s) from stalled elevator,405 N Edward Gary ST ,"Adult education center, college classroom"
1,1/13/18 22:41,"EMS call, excluding vehicle accident with injury",323  Riverside DR ,1 or 2 family dwelling
1,1/13/18 23:19,"EMS call, excluding vehicle accident with injury",127 E Hopkins ST ,"Food and beverage sales, grocery store"
1,1/14/18 0:12,"Arcing, shorted electrical equipment",1605  Girard AVE ,"Residential street, road or residential driveway"
3,1/14/18 6:42,Smoke detector activation due to malfunction,1951  Aquarena Springs DR ,Multifamily dwellings
3,1/14/18 7:29,Passenger vehicle fire,201 S Suttles AVE ,Vehicle parking area
3,1/14/18 7:29,Passenger vehicle fire,201 S Suttles AVE ,Vehicle parking area
2,1/14/18 10:36,Sprinkler activation due to malfunction,1354  Thorpe LN ,Multifamily dwellings
1,1/14/18 13:38,"Brush, or brush and grass mixture fire",2911  Rattler RD ,Open land or field
1,1/14/18 14:37,Water or steam leak,1117  San Marcos PKWY ,Multifamily dwellings
2,1/14/18 15:41,Motor vehicle accident with no injuries,3939 S IH 35  ,Street or road in commercial area
2,1/14/18 16:07,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,1/14/18 16:47,Smoke detector activation due to malfunction,301  Telluride ST ,Multifamily dwellings
1,1/14/18 16:56,"EMS call, excluding vehicle accident with injury",1235 W MLK DR ,Multifamily dwellings
2,1/14/18 20:27,Gas leak (natural gas or LPG),1951  Aquarena Springs DR ,Multifamily dwellings
0,1/14/18 20:46,"EMS call, excluding vehicle accident with injury",1740  Old Ranch Road 12  ,Multifamily dwellings
1,1/14/18 22:29,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,1/15/18 1:35,"Smoke detector activation, no fire - unintentional",102  Autumn CV ,1 or 2 family dwelling
1,1/15/18 4:14,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,1/15/18 8:26,"Medical assist, assist EMS crew",2131 N IH 35  ,"Hotel/motel, commercial"
0,1/15/18 9:11,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
2,1/15/18 9:16,Passenger vehicle fire,  Wonder World DR ,Highway or divided highway
1,1/15/18 9:30,"EMS call, excluding vehicle accident with injury",1908  Nevada ST ,1 or 2 family dwelling
1,1/15/18 10:07,"EMS call, excluding vehicle accident with injury",737  Gravel ST ,1 or 2 family dwelling
1,1/15/18 10:12,Public service,1600 N IH 35  ,Street or road in commercial area
2,1/15/18 11:02,Dispatched & cancelled en route,1401 E McCarty LN ,Warehouse
2,1/15/18 11:22,"EMS call, excluding vehicle accident with injury",1908  Nevada ST ,1 or 2 family dwelling
3,1/15/18 12:00,Vehicle accident with injuries,208  NB  ,Highway or divided highway
1,1/15/18 12:08,Public service,413  Armstrong ST ,1 or 2 family dwelling
1,1/15/18 12:32,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,1/15/18 12:38,"Medical assist, assist EMS crew",  Mill ST ,Playground
1,1/15/18 12:53,"EMS call, excluding vehicle accident with injury",729  Oscar Smith ST ,1 or 2 family dwelling
1,1/15/18 16:44,Motor vehicle accident with no injuries,1600  Aquarena Springs DR ,Street or road in commercial area
1,1/15/18 17:34,"EMS call, excluding vehicle accident with injury",1004  Hwy 123  ,Restaurant or cafeteria
6,1/15/18 17:45,"Cooking fire, confined to container",400  Barnes DR ,"Manufacturing, processing"
6,1/15/18 18:00,Grass fire,  Ellis ST ,Open land or field
2,1/15/18 18:17,"Alarm system sounded, no fire - unintentional",210 N Edward Gary ST ,Multifamily dwellings
1,1/15/18 19:04,"Smoke scare, odor of smoke",1410 N LBJ DR ,Multifamily dwellings
2,1/15/18 21:56,No incident found on arrival at dispatch address,1019  Hwy 80  ,"Household goods, sales, repairs"
1,1/15/18 23:16,Motor vehicle accident with no injuries, W Sessom DR ,"Street, other"
1,1/16/18 0:19,"Medical assist, assist EMS crew",500  Parker DR ,1 or 2 family dwelling
1,1/16/18 1:43,Heat detector activation due to malfunction,1250  Sadler DR ,Multifamily dwellings
1,1/16/18 3:19,Public service,1001  Franklin DR ,1 or 2 family dwelling
1,1/16/18 3:38,"EMS call, excluding vehicle accident with injury",402  Broadway ST ,1 or 2 family dwelling
2,1/16/18 7:48,Vehicle accident with injuries,205  SB  ,Highway or divided highway
2,1/16/18 8:04,Motor vehicle accident with no injuries,206  NB  ,Highway or divided highway
3,1/16/18 8:29,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,1/16/18 8:39,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
1,1/16/18 9:02,Motor vehicle accident with no injuries,  EXIT 205 SB  ,Highway or divided highway
2,1/16/18 9:06,Motor vehicle accident with no injuries,201  NB  ,Highway or divided highway
3,1/16/18 9:21,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
2,1/16/18 10:16,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
1,1/16/18 10:48,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
2,1/16/18 10:49,Dispatched & cancelled en route,209  SB  ,Highway or divided highway
1,1/16/18 11:06,Motor vehicle accident with no injuries,208  NB  ,Highway or divided highway
3,1/16/18 11:13,Vehicle accident with injuries,205  SB  ,Highway or divided highway
2,1/16/18 11:40,Motor vehicle accident with no injuries,208  SB  ,Highway or divided highway
1,1/16/18 12:08,"Good intent call, other",205  NB  ,Highway or divided highway
2,1/16/18 12:15,Assist police or other governmental agency,201  SB  ,Highway or divided highway
1,1/16/18 12:28,Motor vehicle accident with no injuries,206  NB  ,Highway or divided highway
1,1/16/18 18:42,"EMS call, excluding vehicle accident with injury",512  Craddock AVE ,Multifamily dwellings
2,1/16/18 19:23,Assist police or other governmental agency,202  NB  ,Highway or divided highway
1,1/16/18 19:32,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,1/16/18 20:17,"EMS call, excluding vehicle accident with injury",1348  Thorpe LN ,Multifamily dwellings
2,1/16/18 21:36,"Smoke detector activation, no fire - unintentional",100  Warden LN ,Multifamily dwellings
1,1/16/18 21:58,Gas leak (natural gas or LPG),215  Friendship Oak DR ,1 or 2 family dwelling
1,1/17/18 1:49,Water or steam leak,1631  Aquarena Springs DR ,Multifamily dwellings
1,1/17/18 4:43,"Sprinkler activation, no fire - unintentional",124  Spring RD ,"Sorority house, fraternity house"
1,1/17/18 5:29,Alarm system sounded due to malfunction,1841  Airport DR ,Warehouse
1,1/17/18 6:17,"EMS call, excluding vehicle accident with injury",210  Wilson ST ,1 or 2 family dwelling
1,1/17/18 9:34,"EMS call, excluding vehicle accident with injury",1408  Highland DR ,1 or 2 family dwelling
1,1/17/18 9:51,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
1,1/17/18 10:31,"EMS call, excluding vehicle accident with injury",106  Charles Austin DR ,"Adult education center, college classroom"
0,1/17/18 10:35,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,1/17/18 11:50,"False alarm or false call, other",2301 N IH 35  ,"Manufacturing, processing"
1,1/17/18 12:27,Public service,200 W Hopkins ST ,Vehicle parking area
1,1/17/18 12:58,"EMS call, excluding vehicle accident with injury",1610 N IH 35  ,Multifamily dwellings
1,1/17/18 14:07,"False alarm or false call, other",2005  Technology WAY ,"Manufacturing, processing"
2,1/17/18 14:41,"Alarm system sounded, no fire - unintentional",5602  Central Texas DR ,"Utility, defense, agriculture, mining, other"
1,1/17/18 18:09,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,1/17/18 20:44,Public service,813  Easton DR ,1 or 2 family dwelling
1,1/17/18 23:47,Public service,1850  Aquarena Springs DR ,Multifamily dwellings
1,1/18/18 2:48,Public service,1629  Post RD ,Multifamily dwellings
2,1/18/18 7:30,Overheated motor,205  SB  ,Highway or divided highway
2,1/18/18 8:47,"EMS call, excluding vehicle accident with injury",317 W Woods ST ,Construction site
2,1/18/18 9:28,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,1/18/18 11:50,Alarm system sounded due to malfunction,312 W Hopkins ST ,Restaurant or cafeteria
1,1/18/18 13:40,"Sprinkler activation, no fire - unintentional",1180  Thorpe LN ,Amusement center: indoor/outdoor
1,1/18/18 14:03,"EMS call, excluding vehicle accident with injury",  Hunter RD ,Street or road in commercial area
1,1/18/18 14:18,Gas leak (natural gas or LPG),200  Springtown WAY ,Construction site
1,1/18/18 16:17,Dispatched & cancelled en route,  Hwy 80  ,Highway or divided highway
1,1/18/18 18:13,Motor vehicle accident with no injuries,800  Chestnut ST ,"Residential street, road or residential driveway"
1,1/18/18 20:09,Vehicle accident with injuries,1004 E Access RD ,Highway or divided highway
1,1/18/18 20:22,No incident found on arrival at dispatch address,100  Chaparral RD ,1 or 2 family dwelling
2,1/18/18 22:36,"Smoke detector activation, no fire - unintentional",417 N Comanche ST ,Multifamily dwellings
1,1/19/18 1:12,Public service,211 N Guadalupe ST ,Multifamily dwellings
1,1/19/18 2:31,Public service,200  Quail Creek DR ,"Residential street, road or residential driveway"
1,1/19/18 2:50,"EMS call, excluding vehicle accident with injury",525 W Hutchison ST ,Street or road in commercial area
1,1/19/18 7:18,"EMS call, excluding vehicle accident with injury",501 E Hopkins ST ,Athletic/health club
1,1/19/18 9:00,"EMS call, excluding vehicle accident with injury",204  Oakdale DR ,1 or 2 family dwelling
0,1/19/18 10:37,"EMS call, excluding vehicle accident with injury",2301 N IH 35  ,"Professional supplies, services"
2,1/19/18 13:00,"Sprinkler activation, no fire - unintentional",1942 S IH 35  ,"Manufacturing, processing"
3,1/19/18 13:21,Motor vehicle accident with no injuries,205  NB  ,Highway or divided highway
2,1/19/18 17:13,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
1,1/19/18 18:43,Motor vehicle accident with no injuries,  Thorpe LN ,Street or road in commercial area
1,1/19/18 20:29,"EMS call, excluding vehicle accident with injury",204  Oakdale DR ,1 or 2 family dwelling
1,1/19/18 23:23,Power line down,300 S C M Allen PKWY ,Street or road in commercial area
2,1/19/18 23:39,Vehicle accident with injuries, E Access RD ,Highway or divided highway
1,1/20/18 0:09,"Lock-in (if lock out , use 511 )",512  Craddock AVE ,Multifamily dwellings
1,1/20/18 2:07,Motor vehicle/pedestrian accident (MV Ped),142 N LBJ DR ,Street or road in commercial area
2,1/20/18 3:40,Motor vehicle accident with no injuries,  EXIT 206 NB  ,Highway or divided highway
2,1/20/18 7:36,"Alarm system sounded, no fire - unintentional",1250 N IH 35  ,"Hotel/motel, commercial"
1,1/20/18 9:50,"EMS call, excluding vehicle accident with injury",1550 N IH 35  ,Convenience store
1,1/20/18 14:13,"EMS call, excluding vehicle accident with injury",1207 N IH 35  ,"Motor vehicle or boat sales, services, repair"
1,1/20/18 14:26,"EMS call, excluding vehicle accident with injury",1200  Thorpe LN ,Specialty shop
2,1/20/18 22:17,Vehicle accident with injuries,206  SB  ,Highway or divided highway
1,1/20/18 23:18,Dispatched & cancelled en route,700  Barnes DR ,"Parking garage, general vehicle"
1,1/20/18 23:41,Hazmat release investigation w/ no hazmat,300  Trestle Tree  ,1 or 2 family dwelling
1,1/21/18 1:51,Vehicle accident with injuries, S LBJ DR ,Street or road in commercial area
1,1/21/18 3:56,"Good intent call, other",1901 N IH 35  ,Vehicle parking area
3,1/21/18 4:01,Motor vehicle accident with no injuries,210 E Access RD ,Highway or divided highway
2,1/21/18 4:34,Vehicle accident with injuries,201  NB  ,Highway or divided highway
1,1/21/18 12:34,Power line down,  Staples RD ,Highway or divided highway
1,1/21/18 15:00,Removal of victim(s) from stalled elevator,401 N Fredericksburg ST ,Multifamily dwellings
1,1/21/18 15:50,Public service,1223 W Hopkins ST ,"Residential street, road or residential driveway"
1,1/21/18 21:38,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,1/21/18 21:44,"EMS call, excluding vehicle accident with injury",228 W Sierra CIR ,1 or 2 family dwelling
1,1/21/18 23:12,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,1/22/18 0:05,"Medical assist, assist EMS crew",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
1,1/22/18 1:50,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,1/22/18 2:54,"EMS call, excluding vehicle accident with injury",111 E Mimosa CIR ,1 or 2 family dwelling
1,1/22/18 5:50,"EMS call, excluding vehicle accident with injury",1402  Hamilton AVE ,1 or 2 family dwelling
1,1/22/18 6:59,Vehicle accident with injuries,  Sherbarb ST ,"Residential street, road or residential driveway"
1,1/22/18 8:44,Oil or other combustible liquid spill,  Wonder World DR ,Vehicle parking area
1,1/22/18 10:20,"EMS call, excluding vehicle accident with injury",1012  Cheatham ST ,1 or 2 family dwelling
2,1/22/18 11:27,"EMS call, excluding vehicle accident with injury",442  Stagecoach TRL ,1 or 2 family dwelling
1,1/22/18 12:03,Dispatched & cancelled en route,1105 N IH 35  ,"Food and beverage sales, grocery store"
1,1/22/18 12:40,"Medical assist, assist EMS crew",155  Wonder World DR ,"Clinic, clinic-type infirmary"
1,1/22/18 13:02,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
